SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
AC,17,F,1,1,2,C,C,3,D,B,674.8199999999999
AC,18,M,1,1,1,A,A,6,A,A,504.86
AC,18,M,1,2,1,B,B,8,C,B,499.43999999999994
AC,18,M,1,1,1,A,A,6,B,A,435.06000000000006
AC,18,F,1,2,1,B,A,4,A,A,504.03999999999996
AC,18,M,1,1,2,B,C,4,A,A,595.4200000000001
AC,17,F,1,2,1,A,A,5,A,A,511.34
AC,17,F,1,2,1,C,C,3,D,B,450.53999999999996
AC,18,M,1,2,1,C,C,5,B,B,410.7
AC,17,F,1,2,1,D,A,6,A,A,487
AC,17,F,1,1,1,A,B,4,B,A,487.71999999999997
AC,18,F,1,1,1,A,A,7,A,A,511.02
AC,19,F,1,2,1,A,A,8,B,B,440.06000000000006
AC,17,F,1,2,1,B,B,5,B,B,464.58000000000004
AC,17,F,1,2,1,A,A,5,A,A,468.4799999999999
AC,18,M,1,2,1,A,B,3,A,B,558.14
AC,17,F,1,2,1,B,B,3,A,A,551.58
AC,17,F,1,2,1,A,A,3,A,B,455.84
AC,18,F,1,2,1,A,A,3,A,B,392.3
AC,18,F,1,2,1,A,A,5,A,B,425.32
AC,17,M,1,1,2,B,C,5,D,B,700.6600000000001
AC,17,M,1,2,1,C,B,4,A,A,517.1
AC,17,F,1,2,1,A,A,4,A,A,438.86
AC,17,F,1,2,1,D,C,3,B,A,504.78000000000003
AC,18,F,1,2,1,A,A,3,A,B,463.12
AC,17,F,1,2,1,C,C,3,B,B,521.24
AC,17,M,1,1,1,D,A,4,B,A,492
AC,18,F,1,1,1,A,B,2,A,A,448.82
AC,17,M,1,2,1,B,B,5,C,B,662.96
AC,17,F,1,2,1,A,A,6,A,B,535.5200000000001
AC,19,M,1,2,1,A,B,4,A,A,518.52
AC,17,M,1,2,1,A,A,7,A,A,466.46000000000004
AC,20,M,1,2,1,B,A,4,B,A,455.7
AC,18,F,1,1,1,A,A,2,A,B,400.26000000000005
AC,17,F,1,2,1,D,A,3,A,B,482.2
AC,18,F,1,2,1,A,B,2,A,A,427.2799999999999
AC,18,F,1,2,1,D,D,5,A,B,510.32
AC,20,M,1,2,1,D,D,1,A,A,397.06
AC,17,M,1,2,1,D,D,6,A,A,571.0600000000001
AC,18,F,1,1,1,B,A,5,C,B,489.53999999999996
AC,17,F,1,2,1,A,B,5,A,B,610.6800000000001
AC,17,F,1,1,2,B,B,3,C,B,608.82
AC,18,M,1,2,1,A,A,5,A,B,386.68
AC,21,F,1,2,1,A,A,4,A,B,387.32
AC,18,M,1,1,1,C,A,6,B,B,561.5200000000001
AC,17,M,1,2,1,B,B,4,A,A,448.34
AC,18,F,1,1,1,A,B,3,A,A,453.68
AC,26,F,1,2,1,A,A,3,A,B,380.52
AC,18,M,1,2,1,A,A,2,A,A,464.08000000000004
AC,18,F,1,2,1,A,B,6,B,B,504.98
AC,18,M,1,2,1,D,C,5,B,A,457.82
AC,23,M,1,1,1,A,A,6,A,A,420.23999999999995
AC,17,F,1,1,1,A,B,7,B,A,487
AC,17,M,1,2,1,B,C,4,B,B,524.46
AC,18,M,1,2,1,A,A,6,A,B,512.02
AC,18,M,1,2,1,A,A,6,B,B,555.7
AC,19,M,1,2,1,A,A,2,B,B,486.68
AC,18,M,1,2,1,A,A,6,B,A,486.21999999999997
AC,18,F,1,2,1,A,A,4,A,B,455.2
AC,18,F,1,2,1,A,C,5,B,B,452.56000000000006
AC,17,M,1,2,1,B,B,4,B,B,490.2799999999999
AC,18,F,1,2,1,C,C,3,B,B,538.3
