SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
AL,18,F,1,2,1,A,A,5,A,B,474.56000000000006
AL,19,M,1,1,1,A,A,5,B,B,470.84
AL,17,M,1,1,1,A,A,5,A,B,370.54
AL,20,M,1,2,1,B,B,4,A,B,491.6
AL,18,M,1,2,1,D,C,4,B,B,553.1800000000001
AL,18,F,1,2,1,A,B,7,A,A,490.28000000000003
AL,17,F,1,2,1,B,B,5,A,B,553.3199999999999
AL,19,F,1,2,1,B,C,4,D,B,600.46
AL,18,F,1,1,1,A,A,3,A,B,491.26000000000005
AL,17,M,1,1,1,A,B,4,A,B,487.16
AL,17,M,1,2,1,B,B,5,B,B,648.1600000000001
AL,18,M,1,2,1,A,A,3,A,A,465.3
AL,33,F,1,2,1,A,A,6,B,B,441.6
AL,17,F,1,1,1,A,A,4,A,A,441.3
AL,18,M,1,2,1,B,B,4,A,B,490.76000000000005
AL,18,F,1,2,1,A,B,4,A,B,445.88
AL,16,F,1,1,1,A,B,4,A,B,425.14
AL,19,M,1,2,1,A,A,5,B,A,353.08000000000004
AL,18,F,1,1,2,A,B,4,C,B,596.74
AL,17,M,1,2,1,A,B,4,A,B,587.6600000000001
AL,17,M,1,2,2,B,B,5,B,B,458.5
AL,18,M,1,2,2,A,C,5,C,B,591.6
AL,18,F,1,2,1,B,C,3,C,B,611.5600000000001
AL,18,M,1,2,1,D,A,3,A,A,441.23999999999995
AL,18,F,1,2,1,A,B,4,A,A,482.14
AL,21,F,1,1,1,A,A,2,A,B,489.03999999999996
AL,20,F,1,2,1,A,A,6,A,B,447.84000000000003
AL,18,M,1,2,1,C,B,6,C,B,437.73999999999995
AL,20,M,1,2,1,B,B,2,A,A,492.03999999999996
AL,17,F,1,2,1,B,B,6,B,B,441.82
AL,17,M,1,2,2,B,B,3,B,B,559.62
AL,18,F,1,2,1,A,A,5,A,B,377.21999999999997
AL,16,F,1,1,1,A,A,3,B,B,586.8199999999999
AL,17,M,1,2,1,A,B,5,B,B,535.02
AL,16,F,1,2,1,A,B,4,C,A,557.2
AL,19,M,1,2,1,A,A,5,A,B,502.02
AL,17,F,1,2,2,A,B,4,B,B,499.4
AL,20,F,1,2,1,A,A,5,A,A,398.9
AL,17,M,1,2,2,C,C,4,D,B,735.4
AL,26,F,1,2,1,A,A,4,A,A,434.56000000000006
AL,17,M,1,2,1,A,A,4,B,B,500.8
AL,17,M,1,2,1,A,B,3,C,B,508.16
AL,22,F,1,2,1,A,A,5,A,B,385.86
AL,17,M,1,1,2,C,C,2,D,B,555.1
AL,18,F,1,2,1,C,C,5,C,B,449.9
AL,18,M,1,2,1,A,C,5,B,B,480.7
AL,18,F,1,2,2,B,B,5,C,B,447.2
AL,28,F,2,2,1,A,A,4,A,B,345.36
AL,17,F,1,2,1,A,A,3,A,B,480.38
AL,17,F,1,2,1,A,C,4,B,B,618.14
AL,18,M,1,2,1,D,A,4,A,B,530.9
AL,17,M,1,2,1,A,B,5,A,B,467.26000000000005
AL,19,F,1,2,1,D,B,3,A,A,373.52
AL,17,F,1,2,1,B,C,5,A,A,481.12
AL,18,M,1,1,1,A,A,5,B,B,495.5799999999999
AL,17,M,1,1,1,B,A,3,C,B,538.1
AL,17,M,1,2,1,A,B,5,B,B,610.38
AL,17,F,1,1,2,B,B,3,D,B,518.78
