SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
AM,18,F,1,2,1,A,B,5,B,A,474.2799999999999
AM,24,F,2,2,1,A,B,6,A,B,508.18
AM,17,M,1,2,1,A,A,4,A,A,498.08000000000004
AM,19,M,1,2,2,C,B,3,D,B,591.96
AM,18,F,1,2,1,D,C,3,C,A,469.16
AM,18,F,1,1,2,C,C,4,D,B,564.1
AM,18,F,1,2,1,B,A,6,B,A,340.47999999999996
AM,17,F,1,1,2,C,C,3,D,B,729.84
AM,17,F,1,1,1,A,A,4,C,B,479.23999999999995
AM,18,F,1,2,1,D,D,4,A,A,449.56000000000006
AM,17,M,1,2,1,A,A,3,B,B,583.46
AM,19,M,1,2,1,C,B,4,C,B,670.7
AM,18,M,1,2,1,C,B,2,B,B,468.84
AM,18,M,1,2,1,A,C,6,C,B,499.08000000000004
AM,17,F,1,2,1,B,C,4,C,B,465.43999999999994
AM,18,M,1,2,1,B,A,3,C,B,468.7
AM,18,M,1,2,1,A,B,5,B,B,457.7
AM,17,M,1,2,1,A,B,5,B,A,503.12
AM,18,F,1,2,1,A,A,2,A,B,424.0200000000001
AM,17,M,1,2,1,A,B,4,A,A,404.46
AM,17,F,1,2,1,B,B,3,A,B,518.92
AM,24,F,1,1,1,A,B,5,B,B,369.21999999999997
AM,19,F,1,2,1,A,B,3,A,B,529.0200000000001
AM,17,F,1,2,1,A,A,6,A,A,467.8
AM,19,F,1,2,1,A,B,7,A,B,438.03999999999996
AM,19,M,1,2,1,A,A,8,B,A,428.53999999999996
AM,17,F,1,2,1,A,A,7,A,B,492.86
AM,18,F,1,2,1,B,B,4,A,A,440.7
AM,17,M,1,2,1,A,A,5,B,B,542
AM,17,F,1,2,2,B,B,4,B,B,527.74
AM,17,F,1,2,1,B,B,4,B,B,485.53999999999996
AM,17,F,1,1,1,A,B,4,B,A,439.23999999999995
AM,18,M,1,1,2,C,C,7,C,B,656.6200000000001
AM,19,M,1,2,1,B,B,4,B,B,552.54
AM,20,M,1,2,1,A,A,5,A,A,504.02
AM,17,F,1,2,1,A,A,3,A,A,503.48
AM,16,M,1,2,1,C,C,4,C,B,540.36
AM,17,F,1,2,1,B,B,3,A,B,483.7200000000001
AM,17,M,1,2,2,C,C,2,C,B,670.08
AM,18,M,1,1,1,B,B,4,B,B,443.1
AM,17,F,1,1,1,A,B,4,C,B,676.8799999999999
AM,17,M,1,2,1,A,A,4,B,A,442.88
AM,18,M,1,2,1,B,B,4,B,B,425.52
AM,19,M,1,2,1,C,C,2,A,B,330.41999999999996
