SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
AP,18,M,1,2,1,A,A,5,B,B,657.54
AP,19,F,1,2,1,A,A,6,A,A,424.76000000000005
AP,18,F,1,2,2,B,B,5,B,B,465.2
AP,16,M,1,2,1,A,A,5,A,A,469.64
AP,17,F,1,2,1,A,B,4,B,B,497.2200000000001
AP,17,F,1,2,1,A,B,5,A,A,512.5
AP,17,M,1,1,1,C,B,7,B,A,436.21999999999997
AP,18,M,1,2,1,B,A,4,A,B,472.68
AP,18,F,1,2,1,B,B,10,A,B,470.56000000000006
AP,18,F,1,2,1,A,A,8,A,A,437.78000000000003
AP,17,M,1,2,1,B,B,4,C,B,516.6600000000001
AP,23,M,1,2,1,B,C,6,A,B,412.56000000000006
AP,22,M,1,2,1,A,A,7,B,A,460.71999999999997
AP,18,F,1,2,1,B,C,3,C,B,488.12
AP,17,F,1,2,2,B,C,3,D,B,707.8399999999999
AP,18,F,1,1,1,A,B,5,A,B,424.74000000000007
AP,18,F,1,2,1,D,D,3,A,A,444
AP,17,M,1,1,2,A,C,6,C,B,619.96
AP,18,M,1,2,1,A,A,7,A,A,472.1
AP,16,F,1,1,1,D,C,5,C,B,466.88
AP,17,M,1,1,2,C,B,4,B,B,536.9
AP,20,M,1,2,1,A,B,6,A,B,512.2
AP,18,M,1,2,1,A,B,7,A,A,360.04
AP,17,F,1,2,1,A,A,4,A,A,488.43999999999994
AP,17,F,1,2,1,A,C,6,B,B,521.54
AP,17,F,1,2,1,B,C,4,A,A,508.14
AP,17,M,1,2,1,D,B,6,B,B,588.8399999999999
AP,17,F,1,2,1,C,C,3,C,B,525.04
AP,17,M,1,2,1,B,B,5,B,A,469.7
AP,17,F,1,1,1,A,C,3,A,A,543.2
AP,17,F,1,2,1,A,A,4,A,A,456.02
AP,17,F,1,2,1,A,A,9,A,A,468.1
AP,17,F,1,2,1,A,A,5,A,A,478.7
AP,18,F,1,2,1,A,A,8,A,B,446.53999999999996
AP,19,F,2,2,1,D,D,4,A,A,426.6
AP,16,F,1,2,1,C,C,6,B,A,531.62
