SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
BA,18,F,1,2,1,A,A,5,A,A,457.4
BA,19,M,1,2,1,B,B,3,B,B,578.86
BA,18,F,1,2,1,A,A,3,A,B,481.6
BA,18,F,1,2,2,A,A,4,B,B,546.0600000000001
BA,18,M,1,2,1,D,C,3,B,B,536.64
BA,35,F,2,2,1,A,A,4,C,B,371.18
BA,17,F,1,2,1,A,A,4,B,B,587.0799999999999
BA,18,M,1,1,1,A,B,5,B,B,471.9
BA,18,F,1,2,1,B,B,5,A,B,499.68
BA,17,M,1,2,1,A,B,5,A,B,466.76000000000005
BA,17,F,1,2,2,C,C,3,D,B,649.0400000000001
BA,18,F,1,1,1,A,B,4,B,B,430.12000000000006
BA,19,F,1,2,1,A,A,5,A,B,389.68
BA,17,F,1,2,1,A,A,4,C,B,524.46
BA,17,M,1,2,2,B,C,3,B,B,561.72
BA,18,F,1,2,1,B,B,6,B,B,513.22
BA,17,M,1,2,1,A,A,4,B,B,516.6400000000001
BA,17,F,1,1,2,C,C,4,B,B,665.3199999999999
BA,17,F,1,2,2,A,A,4,B,B,586.26
BA,18,F,1,2,1,A,A,5,A,A,495.93999999999994
BA,19,M,1,2,1,B,A,5,A,B,446.1
BA,17,F,1,2,1,A,B,2,A,B,451.34
BA,16,F,1,1,1,A,B,4,B,B,493.28000000000003
BA,18,F,1,2,1,A,A,5,A,B,443.03999999999996
BA,19,F,1,2,1,B,B,3,A,A,484.68
BA,18,M,1,2,1,A,A,5,A,B,468.7
BA,17,M,1,2,2,C,C,4,D,B,618.86
BA,19,M,1,2,1,B,B,3,C,B,463.58000000000004
BA,18,M,1,2,1,A,A,5,B,B,563.1
BA,17,F,1,2,2,C,D,4,D,B,605
BA,18,M,1,1,1,D,B,2,A,B,532.6800000000001
BA,18,F,1,2,1,B,B,6,C,B,519.5600000000001
BA,16,F,1,2,1,B,C,4,C,B,590.9599999999999
BA,19,M,1,1,1,A,C,3,B,B,449.91999999999996
BA,18,F,1,2,1,A,B,4,C,B,394.34
BA,17,F,1,1,1,A,B,5,A,B,507.71999999999997
BA,18,F,1,2,1,A,A,7,B,B,465.5
BA,17,F,1,1,1,B,B,3,A,A,387.38
BA,17,F,1,2,2,A,B,6,C,B,530.46
BA,18,F,1,2,1,A,A,3,B,B,600.46
BA,18,M,1,2,2,C,C,3,C,B,496.56000000000006
BA,17,M,1,2,1,A,B,3,A,B,685.74
BA,17,F,1,2,1,A,C,4,A,A,551.4200000000001
BA,17,F,1,2,2,C,C,3,D,B,692.88
BA,18,F,1,2,1,A,A,3,A,B,477.66
BA,17,F,1,2,2,A,A,4,A,B,491.34
BA,21,F,1,2,1,A,A,5,A,A,391.12
BA,18,F,1,2,2,D,C,4,C,B,723.5600000000001
BA,18,F,1,2,1,A,D,2,A,B,460.98
BA,17,M,1,1,1,B,C,4,A,B,616.3399999999999
BA,18,F,1,2,1,B,A,2,A,A,464.84
BA,18,M,1,2,1,B,B,6,C,B,589.5
BA,18,M,1,1,2,C,B,3,C,B,527.8399999999999
BA,18,F,1,1,1,A,A,6,A,A,475.03999999999996
BA,18,M,1,2,1,A,A,4,A,A,522.68
BA,19,F,1,2,1,A,A,3,A,A,546.22
BA,18,M,1,1,2,B,C,4,D,B,565.94
BA,19,F,1,1,1,A,C,4,D,B,640.02
BA,18,M,1,2,1,A,A,3,C,B,583.68
BA,19,F,1,2,1,A,A,3,B,B,543.3399999999999
BA,20,F,1,2,1,B,A,5,A,B,335.86
BA,18,M,1,2,2,C,C,3,D,B,629.92
BA,19,F,1,2,1,D,A,9,A,B,376.41999999999996
BA,19,F,1,1,1,A,B,4,A,A,420.84
BA,17,F,1,2,1,B,C,3,D,A,481.4
BA,18,M,1,1,1,B,C,3,C,B,537.1
BA,19,M,1,2,1,A,A,5,A,B,306.78000000000003
BA,20,M,1,2,1,D,A,3,A,B,418.78000000000003
BA,19,M,1,2,1,A,A,4,B,B,453.4
BA,18,F,1,2,2,B,B,4,B,B,662.8
BA,17,F,1,2,1,A,A,5,A,A,457.18
BA,18,F,1,2,1,A,A,5,A,A,392.52
BA,18,F,1,2,1,A,B,5,A,A,481.2200000000001
BA,16,F,1,1,1,A,A,4,A,A,409.08000000000004
BA,17,M,1,2,1,C,C,3,D,B,611.5200000000001
BA,17,F,1,1,1,B,B,4,B,B,556.1800000000001
BA,19,M,1,2,1,A,A,10,B,B,406.96000000000004
BA,18,F,1,2,1,A,B,4,B,A,435.4799999999999
BA,19,F,1,1,1,B,B,4,A,B,430.03999999999996
BA,18,F,1,2,1,A,A,4,B,B,513.2
BA,17,F,1,2,1,A,A,3,A,A,446.2799999999999
BA,18,M,1,2,2,D,C,3,C,B,535.5799999999999
BA,21,F,1,2,1,C,A,4,A,B,524.74
BA,17,M,1,1,2,D,D,4,D,B,503.9200000000001
BA,17,F,1,2,1,A,A,3,A,B,465.56000000000006
BA,17,F,1,2,1,B,B,5,A,B,540.76
BA,18,F,1,2,1,A,A,5,A,B,483.36
BA,17,F,1,2,1,A,B,3,A,B,513.9
BA,18,F,1,2,1,A,A,4,A,B,451.4200000000001
BA,17,F,1,2,1,C,C,4,B,B,651.8199999999999
BA,18,F,1,1,1,D,A,4,A,A,578.42
BA,18,M,1,1,1,B,B,3,B,B,544.92
BA,19,F,1,2,1,D,A,2,A,B,366.02
BA,17,F,1,2,1,A,A,5,A,B,519.46
BA,18,M,1,1,1,B,B,5,A,B,476.7
BA,18,M,1,2,1,B,B,3,C,B,521.0799999999999
BA,19,F,1,1,1,B,B,6,B,B,431.46000000000004
BA,17,F,1,2,1,A,C,2,D,B,599.4200000000001
BA,18,F,1,2,1,A,B,6,A,B,463.62000000000006
BA,17,F,1,2,1,B,A,4,B,B,555.64
BA,17,M,1,1,1,B,C,4,B,B,389.46
BA,20,M,1,1,1,A,A,3,B,B,469.87999999999994
BA,19,M,1,2,1,A,A,4,B,A,427.9
BA,18,M,1,2,1,B,B,3,A,A,405.7
BA,17,F,1,2,2,C,B,3,C,B,560.78
BA,18,F,1,2,1,A,A,2,A,A,522.1400000000001
BA,16,F,1,2,1,D,B,4,A,B,444.74000000000007
BA,18,F,1,2,1,A,A,4,A,A,426.4
BA,17,M,1,2,1,D,B,5,A,B,469.46000000000004
BA,19,M,1,1,2,B,B,3,C,B,491.52
BA,17,F,1,1,2,A,B,4,C,B,604.7
BA,17,F,1,2,2,B,B,4,B,B,646.8
BA,17,M,1,1,2,C,C,4,D,B,564.9
BA,17,F,1,1,2,C,C,4,D,B,710.64
BA,18,F,1,1,1,A,B,4,B,B,499.23999999999995
BA,27,M,2,2,1,A,A,2,B,B,479.2
BA,17,F,1,2,1,B,B,3,B,B,613.64
BA,18,M,1,1,2,A,B,7,B,B,523.22
BA,17,M,1,2,1,A,A,5,A,A,517.86
BA,17,F,1,1,1,B,C,4,C,B,515.36
BA,19,F,1,1,1,A,A,4,B,B,388
BA,19,F,1,1,1,A,A,4,A,A,470.86
BA,21,M,1,2,1,D,B,3,A,B,384.84
BA,17,F,1,2,1,B,A,2,B,B,550.5200000000001
BA,18,F,1,2,1,A,B,7,A,B,431.4
BA,16,F,1,2,1,A,A,3,A,B,469.4799999999999
BA,17,F,1,2,1,B,C,5,C,B,538.22
BA,18,F,1,1,1,D,B,4,B,B,475.4
BA,17,M,1,1,1,A,A,8,A,A,442.78000000000003
BA,17,F,1,2,1,A,A,5,A,A,402.8
BA,17,M,1,2,2,B,B,4,C,B,509.48
BA,18,F,1,2,1,B,B,4,B,B,532.6
BA,18,F,1,2,1,D,B,3,A,A,408.32
BA,18,F,1,2,1,B,C,3,A,B,617.2
BA,19,F,1,1,1,B,A,5,B,A,431.7200000000001
BA,18,M,1,2,1,B,C,4,B,B,454.76000000000005
BA,20,F,1,2,1,A,A,5,A,A,497.03999999999996
BA,17,F,1,2,2,C,C,5,D,B,751.62
BA,18,F,1,2,1,A,A,2,A,A,461.16
BA,17,M,1,2,1,A,B,2,B,B,651.8799999999999
BA,18,F,1,2,2,B,B,3,B,B,576.8399999999999
BA,19,M,1,2,2,D,C,2,D,B,460.36
BA,17,M,1,2,1,A,B,4,A,B,526.74
BA,17,F,1,2,1,A,A,3,B,A,418.7
BA,19,F,2,2,1,B,B,3,A,A,537.86
BA,17,F,1,2,1,A,B,4,C,A,645.98
BA,17,F,1,2,1,B,A,3,A,B,544.52
BA,18,M,1,2,1,B,B,3,B,B,611.38
BA,19,F,1,2,1,A,B,3,A,B,318.12
BA,16,F,1,1,1,B,A,4,B,B,321.64
BA,16,F,1,2,1,D,D,10,B,A,444.64
BA,19,F,1,2,1,A,A,3,A,B,400.92
BA,19,M,1,2,1,A,B,4,B,B,491.76000000000005
BA,17,F,1,2,1,A,B,3,A,A,438.43999999999994
BA,18,M,1,1,2,D,B,3,C,B,619.84
BA,18,F,1,2,1,A,B,4,A,B,403.46
BA,18,F,1,1,1,A,A,3,B,B,503.2
BA,19,M,1,1,1,A,A,5,B,B,486.2
BA,19,M,1,2,1,A,C,5,B,A,339.26000000000005
BA,18,F,1,1,2,C,B,5,D,B,637.52
BA,19,M,1,2,1,A,A,4,A,B,464.26000000000005
BA,18,F,1,2,1,A,A,5,A,A,518.4
BA,16,M,1,1,2,A,C,5,B,B,648.46
BA,19,M,1,2,1,B,B,5,A,B,530.14
BA,17,F,1,2,1,D,A,9,A,B,460.16
BA,18,M,1,2,2,B,C,5,C,B,505.56000000000006
BA,17,F,1,2,1,A,B,6,A,A,475.21999999999997
BA,16,F,1,2,2,B,B,4,C,B,610.3199999999999
BA,20,M,1,2,1,D,D,2,B,B,412.7200000000001
BA,18,F,1,2,1,A,D,7,B,B,418.48
BA,18,F,1,2,1,A,A,4,A,B,464.7
BA,17,M,1,2,1,B,B,4,C,A,390.82000000000005
BA,19,F,1,2,2,C,C,4,D,B,662.74
BA,18,F,1,2,1,A,A,4,A,B,472.78000000000003
BA,18,M,1,1,1,B,B,3,B,B,587.8199999999999
BA,18,F,1,2,1,D,A,4,A,A,354.58000000000004
BA,16,M,1,1,2,C,C,4,B,B,597.5
BA,17,F,1,2,1,A,A,5,B,B,570.22
BA,18,M,1,2,1,B,B,5,A,B,535.46
BA,29,F,2,2,1,A,A,3,A,B,517.4
BA,17,M,1,2,1,A,A,2,B,B,672.4399999999999
BA,17,F,1,2,1,C,B,3,A,B,467.14
BA,19,F,1,2,1,B,B,5,B,B,510.8
BA,17,M,1,2,1,B,B,3,C,B,645.38
BA,17,F,1,1,1,B,C,3,C,B,570.8199999999999
BA,17,F,1,1,1,B,B,6,A,A,546.36
BA,18,M,1,2,1,A,A,3,A,B,581.28
BA,20,F,1,2,1,A,C,2,C,B,488.98
BA,18,F,1,2,1,B,C,4,A,B,393
BA,17,M,1,2,2,A,A,4,C,B,515.66
BA,16,F,1,2,2,C,C,3,B,B,644.96
BA,17,M,1,2,1,A,B,4,A,A,460.78000000000003
BA,21,M,1,2,1,A,A,2,B,A,571.9399999999999
BA,18,F,1,2,1,A,A,4,A,B,486.93999999999994
BA,18,M,1,2,1,D,A,3,A,B,451.58000000000004
BA,17,F,1,1,1,D,A,4,C,B,452.56000000000006
BA,20,F,1,1,1,D,B,3,A,A,408.86
BA,18,M,1,1,2,A,A,2,B,B,545.1600000000001
BA,18,F,1,2,1,A,A,4,A,B,361.56
BA,23,F,1,2,1,A,A,5,B,B,442.12
BA,17,M,1,2,1,B,B,5,A,A,526.96
BA,17,F,1,2,1,B,A,4,B,B,440.46000000000004
BA,18,M,1,2,1,A,B,2,C,B,459.48
BA,17,F,1,2,1,B,A,6,A,A,526.8199999999999
BA,39,F,2,2,1,A,A,4,B,B,380.14
BA,24,F,1,2,1,A,A,6,A,A,472.78000000000003
BA,18,F,1,2,1,A,B,5,A,A,424.28000000000003
BA,19,F,1,1,1,A,A,4,A,B,464.93999999999994
BA,18,M,1,1,1,A,C,6,C,B,539.62
BA,17,M,1,2,1,A,B,4,D,B,467.21999999999997
BA,17,F,1,1,1,B,B,6,A,B,587.62
BA,17,F,1,2,1,A,C,4,B,B,489.84
BA,18,F,1,1,1,A,B,6,B,B,550.12
BA,17,F,1,2,1,A,A,6,A,B,561.72
BA,18,F,1,2,1,A,A,3,A,A,394.2
BA,18,F,1,1,1,A,B,3,A,B,554.1600000000001
BA,17,F,1,2,1,A,B,4,A,B,578.1600000000001
BA,17,F,1,2,1,B,B,4,A,B,458.93999999999994
BA,18,M,1,2,2,B,A,4,D,B,623.02
BA,21,M,1,2,1,B,B,3,B,A,467.9200000000001
BA,16,F,1,2,1,A,B,4,A,B,439.5200000000001
BA,17,F,1,2,1,B,B,5,B,A,496.66
