SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
CE,17,F,1,2,1,A,B,3,A,B,478.3
CE,18,F,1,2,1,A,A,3,C,B,467
CE,18,M,1,2,1,D,B,4,A,A,486.5
CE,24,F,1,2,1,A,A,4,A,A,406.34
CE,18,F,1,1,2,A,C,4,C,B,509.86
CE,18,F,1,2,1,A,A,5,A,A,467.06000000000006
CE,18,M,1,1,2,B,C,3,C,B,779.48
CE,17,M,1,2,1,A,A,4,A,B,417.6
CE,18,F,1,2,1,A,B,5,B,B,387.02
CE,17,M,1,2,1,A,B,2,A,B,442.37999999999994
CE,18,M,1,2,1,D,A,4,B,A,468.96000000000004
CE,17,F,1,2,1,D,D,4,D,B,488.91999999999996
CE,18,F,1,2,1,D,A,4,A,B,496.34
CE,17,F,1,2,1,A,A,6,A,A,472.56000000000006
CE,17,M,1,2,1,A,A,5,A,A,467.9799999999999
CE,17,M,1,2,1,A,B,5,C,B,590.58
CE,17,M,1,2,1,A,A,5,A,A,339.22
CE,18,F,1,1,2,B,B,3,D,B,670.6
CE,18,M,1,2,1,D,A,10,B,A,313.46
CE,19,M,1,2,1,D,A,4,A,B,367.04
CE,20,M,1,2,1,D,A,6,A,B,606.26
CE,18,M,2,2,1,A,A,2,A,A,531.04
CE,17,F,1,2,1,A,A,4,A,A,438.21999999999997
CE,18,F,1,1,1,D,C,4,B,B,492.26000000000005
CE,17,M,1,2,1,A,B,9,B,B,402.68
CE,18,M,1,2,1,D,A,4,A,B,413.87999999999994
CE,18,F,1,1,1,B,B,4,A,A,502.23999999999995
CE,17,M,1,2,1,A,A,6,A,A,475.64
CE,17,F,1,2,1,A,A,6,B,B,525.98
CE,17,F,1,2,1,A,A,4,B,A,507.4
CE,18,F,1,2,2,C,C,5,D,B,688.24
CE,17,F,1,2,1,B,B,5,A,A,502.1
CE,17,M,1,1,1,A,A,4,A,A,437.14
CE,17,F,1,2,1,A,A,3,A,A,406.5
CE,18,F,1,2,1,B,B,7,A,A,479.9
CE,19,F,1,2,1,D,D,3,A,A,407.78000000000003
CE,18,M,1,2,1,A,A,5,A,A,488.5200000000001
CE,17,F,1,2,1,A,A,5,A,B,418.23999999999995
CE,18,M,1,2,1,D,D,4,A,A,359.04
CE,18,M,1,2,1,B,B,5,B,B,461.56000000000006
CE,18,M,1,1,1,A,B,3,A,A,336.76
CE,17,M,1,2,1,A,A,3,A,B,515.2
CE,18,M,1,2,1,D,D,5,A,A,575.3
CE,18,M,1,2,1,A,B,4,C,B,606.24
CE,17,M,1,1,1,A,A,4,A,A,639.02
CE,16,M,1,2,1,A,A,4,B,B,523.46
