SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
DF,44,F,1,2,1,D,A,5,B,B,404.38
DF,19,F,1,2,2,A,B,6,B,A,586.6
DF,17,M,1,1,2,C,C,4,D,B,734.8
DF,18,M,1,2,1,B,B,4,B,A,522.6800000000001
DF,18,M,1,2,1,A,B,5,C,B,378.92
DF,18,F,1,2,1,A,B,3,B,A,606.74
DF,18,M,1,1,2,C,C,5,D,B,696.22
DF,17,M,1,2,1,A,A,4,A,B,558.28
DF,17,F,1,2,1,B,B,5,C,B,543.4
DF,17,F,1,1,2,C,C,4,D,B,617.8199999999999
DF,19,M,1,1,2,C,C,3,D,B,733.9
DF,18,F,1,2,1,D,A,4,B,B,439.86
DF,17,M,1,1,2,C,C,4,D,B,610.68
DF,17,M,1,2,2,C,C,5,D,B,667.96
DF,18,F,1,2,1,D,A,2,A,A,529.12
DF,18,F,1,2,2,B,C,4,D,B,577.24
DF,18,M,1,1,1,A,A,8,A,B,578.58
DF,19,M,1,2,1,A,A,4,A,B,442.02
DF,18,F,1,2,1,B,B,4,C,B,525.8199999999999
DF,17,F,1,2,1,C,B,3,C,B,610.62
DF,17,F,1,2,1,A,B,8,C,B,492.2
DF,19,F,1,2,1,D,B,6,B,B,363.46000000000004
DF,16,F,1,2,1,A,A,5,C,B,502.3
DF,23,M,1,2,1,A,A,5,C,B,393.56000000000006
DF,18,M,1,1,1,B,B,3,C,B,518.02
DF,17,M,1,2,1,A,A,5,D,B,604.6600000000001
DF,17,M,1,1,2,C,C,3,D,B,736.64
DF,17,F,1,1,2,C,C,5,D,B,634.08
DF,18,M,1,1,1,B,B,5,C,B,495.8
DF,18,F,1,2,1,D,B,2,B,B,552.8
DF,18,M,1,1,1,B,B,4,D,B,664.26
DF,19,M,1,1,1,C,A,4,B,B,397.9
DF,48,F,2,2,1,A,A,3,B,B,469.66
DF,18,M,2,2,1,B,C,4,B,B,440.2
DF,18,M,1,1,2,C,C,3,D,B,641.02
DF,18,F,1,2,1,D,B,3,A,B,588.5
DF,18,F,1,2,2,C,B,4,C,B,506.21999999999997
DF,19,F,1,2,2,B,C,3,D,B,530.9399999999999
DF,17,F,1,2,2,C,C,4,B,A,614.6
DF,18,M,1,2,1,C,C,6,D,B,596.1800000000001
DF,18,M,1,2,1,A,A,4,A,A,387.28
DF,17,F,1,1,2,C,B,3,C,B,640.4
DF,19,M,1,2,1,A,A,3,A,B,480.02
DF,18,M,1,2,1,C,B,2,B,B,488.26000000000005
DF,17,F,1,1,2,C,C,6,D,B,701.9
DF,17,F,1,2,1,A,A,2,A,B,454.4799999999999
DF,18,M,1,2,1,A,A,4,B,B,452.78000000000003
DF,18,F,1,1,1,C,B,4,D,B,613.96
DF,18,M,1,1,1,B,B,4,C,B,679.28
DF,17,F,1,2,1,A,A,3,A,B,542.3
DF,18,M,1,2,1,B,B,4,B,B,513.4
DF,18,F,1,1,1,D,B,3,B,B,532.9399999999999
DF,18,M,1,2,1,A,A,3,B,B,478.71999999999997
DF,17,F,1,1,1,C,C,6,C,B,577.44
DF,19,F,1,2,1,B,B,5,C,B,557.9
DF,17,M,1,2,2,C,C,5,D,B,664.38
DF,17,M,1,1,1,C,B,3,B,B,549.4
DF,17,M,1,2,2,C,C,5,D,B,621.76
DF,17,F,1,1,1,B,B,4,C,B,553.96
DF,17,M,1,1,2,B,B,3,C,B,510.62
DF,17,F,1,1,1,B,B,4,C,B,553.18
DF,17,M,1,2,2,C,C,4,D,B,585.86
DF,18,M,1,2,1,B,C,5,C,B,532.22
DF,17,F,1,2,1,A,A,4,B,B,456.62
DF,17,M,1,2,1,C,C,4,C,B,523.3399999999999
DF,18,F,1,1,1,C,C,4,D,B,643.4
DF,18,F,1,1,1,A,B,4,B,B,521.22
DF,17,F,1,1,1,A,B,4,B,B,518.78
DF,18,M,1,1,2,C,C,4,D,B,617.86
DF,17,F,1,2,1,B,B,3,A,B,532.7
DF,17,M,1,2,2,C,C,4,D,B,739.72
DF,19,F,1,2,1,A,A,5,B,B,428.02
DF,18,M,1,1,1,D,A,2,A,B,540.46
DF,18,F,1,1,1,D,A,3,B,B,535.2
DF,17,M,1,2,1,B,B,5,C,B,485.84000000000003
DF,17,F,1,1,1,A,B,4,B,B,520.6
DF,17,F,1,2,1,A,B,6,C,B,539.7
DF,17,F,1,1,2,C,C,4,D,B,571.46
DF,18,F,1,1,1,A,A,4,C,B,537.86
DF,17,F,1,2,1,A,B,3,C,B,414.3
DF,18,F,1,2,1,A,A,7,D,B,404.08000000000004
DF,17,F,1,2,1,C,C,3,D,B,568.4
DF,17,F,1,1,2,C,C,3,D,B,634.6200000000001
DF,17,F,1,2,1,D,B,3,B,B,647.8199999999999
DF,17,M,1,2,1,D,B,5,B,B,495
DF,17,F,1,1,2,C,C,5,D,B,684.02
DF,17,M,1,2,1,C,C,3,D,B,600.92
DF,18,F,1,2,1,A,C,6,B,A,494.52
DF,18,M,1,2,1,B,B,4,B,B,511.91999999999996
DF,18,M,1,1,2,C,C,5,D,B,657.3399999999999
DF,17,F,1,2,2,B,B,4,D,B,663.2
DF,19,M,1,2,1,B,B,3,C,B,485.3
DF,19,F,1,2,1,B,A,5,B,A,474.64
DF,16,F,1,2,1,C,C,4,C,B,599.22
DF,17,F,1,2,1,B,C,4,B,B,548.68
DF,18,F,1,1,1,B,C,3,C,B,557.86
DF,17,F,1,2,1,A,B,2,B,B,548.6600000000001
DF,17,F,1,1,1,B,B,5,D,B,514.76
DF,17,F,1,1,1,A,B,4,C,B,476.3
DF,19,M,1,2,1,B,B,3,A,B,443.7200000000001
DF,18,M,1,1,1,D,B,4,C,B,507.03999999999996
DF,19,M,2,2,1,B,A,6,B,B,475.08000000000004
DF,18,F,1,1,2,B,B,3,D,B,592.54
DF,17,M,1,2,1,C,B,4,D,B,546.3399999999999
DF,18,F,1,1,1,B,A,4,C,B,555.88
DF,19,F,1,2,1,A,C,4,C,B,482.62
DF,17,F,1,1,1,A,B,4,C,B,545.3399999999999
DF,17,M,1,2,1,A,B,2,A,B,480.5799999999999
DF,18,M,1,2,1,B,B,8,C,B,672.02
DF,18,M,1,2,1,A,B,5,C,B,545.7
DF,19,M,1,2,1,C,C,3,D,B,566.4599999999999
DF,17,M,1,2,2,A,B,5,A,B,346.08000000000004
DF,17,M,1,1,2,A,C,2,C,B,595.2
DF,17,M,1,2,2,C,C,5,D,B,687.42
DF,18,F,1,2,1,C,B,2,A,B,503.76000000000005
DF,17,M,1,2,1,A,A,4,C,B,643.3
DF,18,F,1,2,1,A,A,4,A,B,517.0600000000001
DF,18,F,1,2,1,D,B,2,C,B,451.32
DF,17,M,1,1,2,C,C,3,D,B,689.72
DF,18,M,1,1,2,C,C,5,D,B,690.9799999999999
DF,19,M,1,1,1,C,B,4,B,B,548.24
DF,19,F,1,2,2,C,C,4,D,B,595.0600000000001
DF,17,M,1,1,2,C,C,3,D,B,634.2
DF,18,M,1,1,1,B,C,4,C,B,471.73999999999995
DF,18,F,1,2,1,D,A,3,A,B,481.93999999999994
DF,18,F,1,1,2,C,C,5,C,B,678.98
DF,17,F,1,2,1,C,C,3,B,A,599.42
DF,18,F,1,1,1,A,B,2,B,B,487.08000000000004
DF,18,F,1,1,2,C,C,3,D,B,649.9799999999999
DF,17,M,1,1,1,B,C,4,D,B,581.86
DF,19,M,1,2,1,A,A,3,B,B,486.08000000000004
DF,17,M,1,1,2,C,C,4,D,B,649.08
DF,18,M,1,2,2,A,C,4,C,B,637.28
DF,18,F,1,1,2,B,C,3,C,B,572.98
DF,18,M,1,2,1,A,A,4,B,B,543.5400000000001
DF,18,F,1,2,1,B,A,8,C,B,487.4200000000001
DF,17,F,1,1,1,A,A,4,D,B,607.6
DF,17,F,1,2,1,A,C,3,D,B,605.42
DF,17,M,1,1,2,C,C,4,D,B,670.72
DF,17,F,1,2,1,B,B,3,C,B,557.04
DF,17,F,1,2,2,C,C,3,D,B,694.16
DF,17,M,1,2,1,A,B,4,A,A,556
DF,17,F,1,1,2,B,A,4,D,B,512.08
DF,17,F,1,1,1,A,B,6,B,B,543.48
DF,19,F,1,1,1,B,B,5,B,B,459.9200000000001
DF,18,M,1,1,2,A,B,4,B,B,630.22
DF,17,F,1,1,1,B,B,5,B,A,408.98
DF,20,M,1,2,1,A,A,5,B,B,491.84
DF,18,F,1,2,1,A,B,4,B,B,514.1
DF,18,F,1,1,2,C,C,5,C,B,639.1400000000001
DF,18,F,1,2,2,C,D,4,C,B,599.98
DF,19,M,1,2,1,B,C,5,D,B,573.3599999999999
DF,20,M,1,2,1,C,B,2,C,B,456.48
DF,18,M,1,1,2,A,B,3,C,B,689.48
DF,17,F,1,2,1,B,B,2,A,B,571.0600000000001
DF,19,M,2,2,1,B,B,4,C,B,411.23999999999995
DF,18,M,1,2,1,A,A,5,B,B,549.76
DF,18,F,1,1,2,D,C,2,C,B,581.4399999999999
DF,20,M,1,2,1,A,A,4,A,A,560.78
DF,17,F,1,1,1,C,C,3,C,B,570.28
DF,17,F,1,1,1,A,C,3,B,B,522.92
DF,17,F,1,2,1,C,C,3,C,B,610.72
DF,18,M,1,2,1,A,B,3,B,B,517.0799999999999
DF,18,M,1,2,1,A,A,5,C,B,569.6
DF,18,F,1,2,1,B,C,3,D,B,554.28
DF,18,F,1,2,1,B,B,5,C,B,454.2799999999999
DF,17,M,1,2,1,D,A,2,B,B,533.32
DF,17,M,1,1,2,C,C,4,D,B,635.04
DF,18,M,1,1,2,B,C,4,C,B,616
DF,17,F,1,1,1,C,C,4,D,B,670.02
DF,17,M,1,2,1,C,A,3,B,B,419.5
DF,18,F,1,1,1,A,B,4,A,B,553.28
DF,19,F,1,2,1,A,A,4,A,B,369.06
DF,18,F,1,1,1,B,C,4,B,B,487.1
DF,17,M,1,2,1,A,B,4,B,B,458.38
DF,18,M,1,2,1,A,A,3,B,A,389.34000000000003
DF,18,M,1,1,1,B,B,4,C,B,620.92
DF,18,M,1,1,2,C,C,3,D,B,645.18
DF,17,F,1,1,1,B,A,4,B,B,535.24
DF,19,M,1,1,1,B,C,4,C,B,511.06000000000006
DF,17,M,1,1,2,C,B,4,D,B,610.9399999999999
DF,17,F,1,1,2,C,C,4,D,B,642.78
DF,18,F,1,2,1,B,B,4,B,A,522.1200000000001
DF,18,M,1,1,2,C,C,5,D,B,579.24
DF,18,F,1,2,1,B,B,5,B,B,480.4200000000001
DF,18,F,1,1,1,C,B,2,B,B,477.02
DF,19,F,1,2,1,A,A,2,A,A,540.8399999999999
DF,19,F,1,2,1,A,A,4,C,B,445.21999999999997
DF,17,F,1,2,1,B,B,4,B,B,475.5
DF,18,M,1,2,1,A,A,5,C,A,494.06000000000006
DF,18,M,1,2,1,B,A,3,B,B,493.36
DF,17,F,1,1,1,B,B,4,B,B,490.16
DF,18,F,1,1,1,A,A,5,C,B,437.06000000000006
DF,18,F,1,2,1,A,A,8,B,B,488.16
DF,19,F,1,2,1,A,A,5,A,A,418.87999999999994
DF,17,M,1,2,1,B,C,10,D,B,650.5799999999999
DF,17,F,1,1,2,B,C,4,D,B,653.62
DF,17,F,1,1,2,A,A,5,C,B,587
DF,18,F,1,1,1,C,C,8,B,B,440.38
DF,18,F,1,2,1,A,B,4,B,B,626.1
DF,17,M,1,2,1,A,A,5,B,B,618.7
DF,18,F,1,2,1,A,B,3,C,B,579.4799999999999
DF,19,M,1,2,1,B,A,3,D,B,473.12
DF,17,F,1,1,1,B,B,3,B,B,599.9200000000001
DF,17,F,1,2,1,B,B,5,C,B,525.08
DF,17,M,1,2,2,C,C,3,D,B,729.3799999999999
DF,17,F,1,2,1,A,A,4,A,B,503.96000000000004
DF,18,F,1,2,1,A,B,5,B,B,482.46000000000004
DF,18,M,1,1,1,A,A,5,C,B,601.8
DF,18,M,1,2,1,B,C,5,C,B,476.87999999999994
DF,18,F,1,2,1,A,B,4,C,B,472.5
DF,19,F,1,2,1,A,B,6,B,B,482.76000000000005
DF,18,F,1,2,1,B,A,9,A,B,365.08000000000004
DF,17,F,1,2,1,D,C,5,D,B,572.5
DF,17,M,1,2,2,D,D,4,D,B,609.8799999999999
DF,18,F,1,2,1,B,B,9,A,B,442.5
DF,17,F,1,2,1,C,B,4,C,B,426.9
DF,17,M,1,1,2,C,C,5,D,B,713.98
