SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
ES,17,M,1,1,2,C,C,2,D,B,711.1800000000001
ES,18,F,1,2,1,A,D,4,B,B,495.12
ES,19,M,1,2,1,B,C,3,B,B,420.03999999999996
ES,18,F,1,1,2,C,C,5,D,B,672.5600000000001
ES,17,M,1,1,2,C,C,3,D,B,711.02
ES,17,M,1,2,1,B,B,4,C,A,621.7
ES,17,M,1,1,1,A,A,3,A,A,324.82
ES,17,F,1,1,2,B,B,3,D,B,618.02
ES,18,F,1,1,1,B,B,3,A,B,520.7
ES,19,F,1,2,1,B,B,4,B,B,486.91999999999996
ES,17,M,1,1,1,C,C,3,D,B,613.26
ES,17,M,1,2,2,B,B,4,D,B,681.1600000000001
ES,17,F,1,1,2,D,C,3,B,B,636.46
ES,19,F,1,2,1,B,B,4,B,A,504.21999999999997
ES,19,M,1,2,1,A,B,4,C,B,488.96000000000004
ES,20,F,1,2,1,B,B,4,B,B,538.2
ES,17,M,1,1,1,A,A,3,B,B,516.0799999999999
ES,24,F,1,1,1,A,B,6,B,B,421.6
ES,18,F,1,1,2,D,B,3,B,B,616.0200000000001
ES,17,M,1,2,1,B,B,4,C,B,532.54
ES,17,F,1,1,1,C,C,5,D,B,543.58
ES,18,M,1,1,1,B,C,5,C,B,574.88
ES,17,F,1,2,1,A,A,4,C,B,491.9
ES,19,F,1,2,1,A,A,3,A,B,487.03999999999996
ES,18,F,1,2,1,A,A,4,A,A,544.8199999999999
ES,50,M,2,1,1,A,A,2,A,A,531.1200000000001
ES,18,F,1,2,1,B,B,3,C,B,483.84
ES,18,M,1,1,2,A,B,4,C,B,648.58
ES,18,F,1,2,1,B,C,3,C,B,469.36
ES,17,M,1,2,1,B,A,5,B,B,627.08
ES,17,F,1,1,1,B,B,3,B,B,584.54
ES,17,F,1,2,1,A,B,3,B,A,676.1400000000001
ES,18,M,1,2,2,D,B,3,A,A,454.73999999999995
ES,17,M,1,1,1,A,B,4,B,B,556.1600000000001
ES,18,M,1,2,2,B,B,4,D,B,540.3
ES,17,M,1,1,1,A,A,2,B,B,578.0200000000001
ES,18,F,1,1,1,A,A,4,B,B,509.43999999999994
ES,18,F,1,2,1,A,A,4,A,B,561.36
ES,19,M,1,1,1,C,C,4,D,B,454.34
ES,19,F,1,2,1,B,B,4,C,B,496.5
ES,18,F,1,1,1,A,A,3,B,B,561.74
ES,17,F,1,1,1,B,B,6,D,B,583.66
ES,17,M,1,2,1,B,A,8,C,B,628.58
ES,18,F,1,2,1,B,C,5,B,B,449.66
ES,19,M,2,2,1,B,B,2,B,B,409.1
ES,18,M,1,2,1,D,B,4,A,A,413.9
ES,18,M,1,2,1,A,B,3,A,B,596.1200000000001
ES,20,F,1,2,1,A,A,4,B,B,450.5400000000001
ES,18,F,1,2,1,C,B,5,C,B,469.43999999999994
ES,18,F,1,2,1,B,A,4,A,B,372.43999999999994
ES,17,M,1,1,1,D,D,4,B,B,512.0600000000001
ES,17,M,1,2,1,A,B,4,B,B,463.38
ES,18,M,1,1,1,D,D,4,B,B,500.14
ES,18,F,1,2,1,A,A,5,A,B,458.12
ES,19,F,1,2,1,A,A,2,B,A,531
ES,18,M,1,1,1,A,A,3,A,B,597.26
ES,19,M,1,2,1,B,A,4,C,B,519
ES,18,F,1,2,1,B,C,4,C,B,616.58
ES,17,M,1,2,1,A,A,4,B,B,478.38
ES,17,F,1,1,2,C,C,4,D,B,699.8
ES,17,F,1,2,1,B,B,5,A,B,466.9799999999999
ES,18,F,1,2,1,B,B,4,B,B,579.46
ES,18,F,1,1,2,C,C,5,C,B,660.22
ES,17,M,1,1,1,D,D,7,D,B,446.03999999999996
ES,18,F,1,1,1,B,B,4,B,B,460.2
ES,18,M,1,2,1,C,A,4,B,B,526.5
ES,17,M,1,1,1,A,A,3,C,B,425.64
ES,18,F,1,1,1,A,A,4,B,B,531.7
ES,18,M,1,2,1,A,A,4,A,A,546.76
ES,24,F,1,1,1,B,A,2,B,B,437.9
ES,19,M,1,2,1,A,A,3,B,B,474.08000000000004
ES,18,F,1,2,1,B,A,3,B,B,519.08
ES,18,M,1,2,1,A,A,6,A,A,486.52
ES,18,M,1,1,1,A,A,4,C,B,585.8199999999999
ES,17,F,1,2,1,A,A,4,B,B,470.43999999999994
ES,17,M,1,2,1,A,A,4,A,B,592.58
ES,17,M,1,2,1,A,A,4,B,B,507.16
ES,17,F,1,1,1,A,B,4,B,B,542
ES,18,F,1,2,1,A,A,3,D,B,542.04
ES,18,M,1,1,1,B,A,2,B,B,455.23999999999995
ES,18,M,1,1,1,C,B,3,D,B,636.68
ES,17,F,1,2,2,A,B,5,A,B,427.12
ES,18,F,1,1,1,A,A,4,B,B,358
ES,18,F,1,1,1,A,A,3,A,A,428.4
ES,18,M,1,1,2,C,C,3,D,B,700.96
ES,17,M,1,1,1,A,A,5,C,B,627.3399999999999
ES,18,M,1,1,1,A,A,2,A,B,415.26000000000005
ES,17,M,1,2,1,B,B,3,C,B,661.22
ES,18,M,1,1,1,A,A,3,B,B,710.8199999999999
ES,19,M,1,1,1,A,A,4,B,B,559.0600000000001
ES,18,M,1,2,1,A,B,4,B,B,474.43999999999994
ES,18,M,1,2,1,B,B,3,C,B,498.35999999999996
ES,17,M,1,2,1,D,D,3,B,B,410.73999999999995
ES,18,F,1,2,1,B,D,2,B,B,526.8199999999999
ES,21,F,1,2,1,D,A,2,A,B,494.1
ES,17,F,1,2,1,A,B,4,B,B,580.14
ES,18,F,1,2,1,B,B,4,B,B,630.32
ES,18,M,1,2,1,B,B,4,B,B,441.62
ES,18,M,1,1,1,A,A,7,A,A,480.98
ES,56,F,1,2,1,A,A,9,B,A,423.7
ES,17,F,1,1,1,A,A,4,C,B,568.74
ES,19,M,1,2,1,A,B,4,C,B,516.48
ES,21,F,2,1,1,A,A,7,B,B,444.16
ES,18,F,1,1,1,A,B,5,B,B,414.82
ES,18,F,1,2,1,C,B,3,C,B,635.14
ES,19,M,1,1,1,C,B,4,D,B,590.12
ES,18,M,1,1,1,A,B,4,B,B,560.26
ES,18,F,1,2,1,B,A,4,A,A,508.64
ES,17,F,1,1,1,A,B,5,B,B,494.82
ES,17,M,1,1,1,A,A,3,C,B,589.0600000000001
ES,18,M,1,2,1,A,A,5,B,A,655.4399999999999
ES,18,F,1,2,1,A,A,6,A,B,499.64
ES,18,M,1,1,1,B,C,5,C,B,613.22
ES,17,F,1,2,1,D,A,3,B,A,551.4
ES,18,F,1,2,1,C,B,2,D,B,503.38
ES,18,M,1,2,1,A,B,4,B,B,534.5200000000001
ES,17,F,1,1,1,B,C,4,C,B,697.1800000000001
ES,18,M,2,2,1,A,A,5,B,B,553.8399999999999
ES,18,M,1,2,1,B,B,3,C,B,633.72
ES,19,F,1,2,1,A,A,3,B,A,452.12
ES,18,F,1,2,1,A,A,4,B,B,514.78
ES,17,F,1,2,2,C,C,2,C,B,640.6600000000001
ES,18,F,1,2,1,A,B,3,B,B,586.62
ES,18,F,1,1,2,C,B,5,D,B,632.3799999999999
ES,19,F,1,2,1,B,A,3,A,A,480.58000000000004
ES,19,F,1,1,2,B,B,4,B,B,447.17999999999995
ES,18,M,1,2,1,B,B,5,B,B,481.9
ES,18,M,1,2,1,A,A,4,C,B,566.36
ES,17,M,1,1,1,B,B,4,C,B,615.72
ES,17,M,1,2,2,B,B,5,C,B,645.5200000000001
ES,17,F,1,2,1,D,A,4,B,B,641.42
ES,18,F,1,1,1,C,C,3,B,B,494.6
ES,19,F,1,2,1,A,A,5,A,B,460.4
ES,17,M,1,1,2,C,C,5,D,B,648.02
ES,17,M,1,2,1,B,B,3,A,B,397.2
ES,19,M,1,1,1,A,B,4,A,A,507.36
ES,18,M,1,2,1,A,A,3,A,B,553.8399999999999
ES,17,F,1,1,1,A,A,2,A,A,481.67999999999995
ES,18,F,1,2,1,A,A,5,A,B,538.0600000000001
ES,17,F,1,2,1,B,A,3,B,B,536.92
ES,20,F,1,2,1,A,A,7,A,A,407.48
ES,18,F,1,2,2,B,C,2,C,B,658.54
ES,17,F,1,1,1,B,B,4,C,B,585.08
ES,18,M,1,2,1,A,A,4,A,B,480.48
ES,18,M,1,2,1,C,C,3,C,B,468.21999999999997
ES,19,F,1,2,1,A,A,4,A,B,395.71999999999997
ES,17,M,1,1,1,A,D,4,A,B,502.53999999999996
ES,17,F,1,2,1,A,A,4,B,B,542.6600000000001
ES,18,F,1,1,1,D,A,2,B,B,552.4
ES,17,M,1,2,1,C,B,4,C,B,546.2
ES,19,F,1,2,1,A,A,4,B,B,481.53999999999996
ES,18,F,1,2,1,B,C,6,C,B,473.5
ES,19,F,1,2,1,A,C,4,C,B,466.53999999999996
ES,17,F,1,1,1,C,B,3,C,B,567.54
ES,19,M,1,1,1,B,B,4,B,B,495.2
ES,17,F,1,2,1,A,C,3,C,B,578.7
ES,18,M,1,2,1,B,B,3,C,B,475.6
ES,17,F,1,2,1,D,B,5,B,B,475.6
ES,17,F,1,2,1,A,A,4,A,A,579.2
ES,17,M,1,2,1,B,B,4,D,B,586.64
ES,18,F,1,2,1,B,B,3,B,B,483.38
ES,17,M,1,1,2,A,A,5,C,B,545.42
ES,18,F,1,2,1,A,B,4,B,A,615.6
ES,18,F,1,1,1,B,B,5,B,A,536.38
ES,18,M,2,2,1,A,B,4,B,B,366.75999999999993
ES,18,F,1,2,1,B,B,4,B,B,471.82
ES,18,F,1,1,1,A,B,2,B,B,445.76000000000005
ES,18,F,1,1,1,A,A,4,B,B,500.14
ES,17,F,1,2,1,A,A,3,B,B,483.56000000000006
ES,17,F,1,2,1,A,B,5,A,B,589.1800000000001
ES,18,M,1,2,1,D,B,3,C,B,655.62
ES,17,M,1,2,1,A,A,4,B,B,491.73999999999995
ES,17,F,1,1,1,B,C,3,D,B,549.2
ES,17,F,1,1,1,A,A,4,B,B,643.8599999999999
ES,17,M,1,1,1,A,A,3,A,B,633.52
ES,18,M,1,2,1,A,C,3,B,B,493.4200000000001
ES,17,F,1,1,2,C,B,3,D,B,655.86
ES,18,F,1,2,1,A,B,5,B,B,433.08000000000004
ES,17,F,1,2,1,A,A,2,A,B,497.36
ES,18,M,1,1,2,B,C,3,D,B,376.59999999999997
ES,17,F,1,2,1,B,B,3,C,B,566.38
ES,18,F,1,2,1,A,B,3,C,B,613.4799999999999
ES,35,F,2,2,1,A,A,4,B,A,448.41999999999996
ES,17,M,1,1,2,C,C,4,D,B,711.76
ES,18,M,1,2,1,A,A,3,A,A,459.4
ES,18,F,1,1,1,A,C,3,C,B,528.1200000000001
ES,17,M,1,2,1,B,C,3,C,B,349.78000000000003
ES,18,F,1,2,1,A,C,5,C,B,564.8399999999999
ES,19,M,1,1,1,A,A,4,A,B,518.64
ES,17,M,1,2,1,A,A,4,B,B,551.1600000000001
ES,17,F,1,2,1,B,A,4,B,B,482.38
ES,19,M,1,2,1,B,C,4,D,B,661.78
ES,18,M,1,2,1,A,A,6,B,B,530.42
ES,18,F,1,2,1,A,A,4,B,A,566.1999999999999
ES,17,M,1,2,1,A,A,3,A,B,444.76000000000005
ES,18,M,1,2,1,A,A,3,B,B,441.78000000000003
ES,19,F,1,2,1,C,C,3,D,B,738.36
ES,18,F,1,2,2,D,D,4,B,B,627.38
ES,17,M,1,1,1,C,C,2,C,B,549.2
ES,19,M,1,1,1,C,C,4,D,B,692.3
ES,17,F,1,1,1,A,A,3,C,B,587.18
ES,17,F,1,2,1,B,A,5,B,B,533.36
ES,18,M,1,2,1,A,A,3,B,A,442.7200000000001
ES,18,M,1,1,1,B,B,4,A,B,466.71999999999997
ES,17,F,2,2,1,A,A,5,A,A,492.17999999999995
ES,18,M,1,1,1,A,B,6,C,B,623.5799999999999
ES,19,F,1,2,1,A,A,4,B,B,537.4399999999999
ES,19,F,1,2,1,A,A,3,B,A,490.17999999999995
ES,17,M,1,2,1,A,A,3,C,B,565.1600000000001
ES,18,F,1,1,2,A,B,5,D,B,636.26
ES,18,M,1,2,1,A,B,4,B,B,549.8799999999999
ES,17,M,1,2,1,D,B,3,C,B,672.74
ES,19,F,1,2,1,B,C,3,B,B,617.4399999999999
ES,17,M,1,1,2,D,D,2,D,B,469.76000000000005
ES,18,M,1,1,1,A,A,5,B,B,685.8399999999999
ES,18,F,1,1,2,C,B,4,D,B,712.3399999999999
ES,17,M,1,2,1,D,B,5,B,B,601.96
ES,18,F,1,2,1,D,B,2,A,B,474.53999999999996
ES,18,F,1,2,1,A,A,4,B,B,507.71999999999997
ES,18,F,1,2,1,B,A,3,C,B,519.5
ES,18,F,1,2,1,A,A,5,B,B,487.9799999999999
ES,17,F,1,1,2,C,B,4,D,B,624.86
ES,17,M,1,1,1,B,B,4,C,B,636.3199999999999
ES,18,M,1,2,1,D,A,3,B,B,525.24
ES,17,M,1,1,1,A,A,3,A,A,407.08000000000004
ES,19,M,1,1,1,A,A,3,A,B,501.7
ES,19,F,1,2,1,C,C,4,C,B,606.72
ES,19,F,1,1,1,C,C,4,C,B,532.4799999999999
ES,18,F,1,1,1,D,C,4,C,B,421.7
ES,18,F,1,2,1,A,D,4,B,B,542.02
ES,17,M,1,2,1,B,B,3,A,B,497.84
ES,17,M,1,2,1,A,A,5,B,B,491.36
ES,17,M,1,2,1,B,B,4,D,B,544.76
ES,17,F,1,1,1,A,A,4,B,B,334.91999999999996
ES,18,M,1,1,1,C,B,5,C,B,667.3
ES,17,M,1,2,1,C,C,3,D,B,559.18
ES,18,M,1,2,1,A,B,5,B,B,471.03999999999996
ES,17,F,1,1,1,A,A,4,A,B,476.18
ES,17,M,1,2,2,C,C,4,C,B,481
ES,19,M,1,1,1,B,A,6,C,B,609.48
ES,17,F,1,1,2,A,C,2,A,B,666.74
ES,18,F,1,2,1,A,B,4,C,B,579.42
ES,19,M,1,2,1,C,C,4,C,B,750.8
ES,17,F,1,2,1,A,A,4,A,A,480.66
ES,17,F,1,1,1,B,B,4,B,B,664.48
ES,18,F,1,1,1,C,A,2,B,B,505.84
ES,18,M,1,2,1,B,B,4,A,A,396.02
ES,17,F,1,2,1,A,A,7,C,B,448.68
ES,17,F,1,2,1,C,C,5,D,B,669.1
ES,18,M,1,1,2,C,C,4,D,B,684.02
ES,22,F,2,2,1,D,D,4,A,A,482.12
ES,18,M,1,2,1,B,C,4,D,B,707.3799999999999
ES,17,F,1,1,1,A,A,3,C,B,548.64
