SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
GO,18,F,1,1,1,C,B,2,B,B,493.14000000000004
GO,18,F,1,1,1,A,B,4,B,B,541.5
GO,17,F,1,1,1,A,B,4,C,B,621.08
GO,16,F,1,1,2,D,C,4,B,B,644.8199999999999
GO,17,F,1,2,1,A,B,4,B,B,503.78000000000003
GO,18,M,1,1,1,C,C,5,B,B,664.1400000000001
GO,17,F,1,1,1,B,B,4,B,B,607.5600000000001
GO,17,F,1,2,1,C,B,2,B,B,600.74
GO,17,M,1,1,1,A,A,4,B,B,528.5600000000001
GO,18,M,1,2,1,A,B,3,B,B,633.52
GO,20,F,1,2,1,A,A,3,A,A,492.64
GO,18,F,1,2,1,B,B,4,A,A,547.42
GO,18,F,1,1,1,A,A,3,C,B,489.4
GO,18,M,1,2,1,A,C,3,C,B,595.04
GO,18,F,1,1,2,B,C,2,C,B,620.5600000000001
GO,17,M,1,1,1,B,B,5,C,B,568.96
GO,18,F,1,2,1,D,D,7,B,B,441.3
GO,18,M,1,2,1,D,B,2,B,B,490.46000000000004
GO,18,M,1,1,2,B,C,6,C,B,594.5200000000001
GO,18,F,1,1,1,A,A,3,A,B,439.64
GO,18,M,1,1,1,A,C,4,B,B,434.9
GO,17,M,1,2,1,C,B,4,B,B,566.78
GO,18,F,1,1,1,A,C,3,B,B,516.9
GO,18,F,1,2,1,B,A,5,B,B,608.72
GO,17,F,1,1,1,A,A,3,B,B,497.66
GO,17,F,1,2,1,B,B,5,B,A,533.02
GO,17,F,1,1,1,B,B,4,B,B,504.32
GO,17,F,1,1,2,B,C,8,D,B,619.38
GO,18,M,1,1,1,B,B,4,C,B,543.54
GO,17,F,1,2,1,C,A,3,D,B,525.32
GO,17,M,1,1,1,C,C,3,D,B,622.56
GO,18,F,1,1,1,D,B,4,A,B,547.0400000000001
GO,19,F,1,2,1,A,B,5,B,B,471.78000000000003
GO,18,M,1,1,2,B,C,3,B,B,502.43999999999994
GO,17,M,1,2,1,D,A,4,B,B,546
GO,18,M,1,2,1,A,B,3,B,B,535.04
GO,18,F,1,2,1,B,B,4,B,B,583.6
GO,18,F,1,2,1,A,A,4,C,B,495.8
GO,18,M,1,1,2,A,A,4,C,B,570.3
GO,16,F,1,2,1,A,A,5,B,B,440.26000000000005
GO,17,F,1,2,1,A,A,5,C,B,507.73999999999995
GO,18,M,1,2,1,B,A,4,A,B,481.71999999999997
GO,18,F,1,2,1,A,A,6,B,B,549.22
GO,18,M,1,1,1,A,B,2,A,B,556
GO,18,M,1,2,1,B,C,2,B,B,450.8
GO,17,F,1,1,2,C,C,5,C,B,488.41999999999996
GO,18,F,1,2,1,A,B,4,C,A,570.5799999999999
GO,17,F,1,1,1,A,A,4,B,B,569.9
GO,17,F,1,2,1,B,A,3,C,B,663.92
GO,17,F,1,2,1,B,D,3,A,B,500.8
GO,17,M,1,2,1,B,B,2,B,A,678.88
GO,17,F,1,1,1,A,A,3,A,B,506.06000000000006
GO,18,M,1,2,1,B,B,1,B,B,472.16
GO,17,F,1,2,2,C,C,2,D,B,743.72
GO,18,M,1,1,2,C,C,1,D,B,729.7
GO,18,F,1,2,1,A,A,6,B,B,464.06000000000006
GO,18,M,1,2,1,C,B,4,C,B,506.84
GO,17,F,1,1,1,A,C,4,D,B,549.4599999999999
GO,25,F,1,2,1,A,A,3,B,B,531.3199999999999
GO,18,F,1,1,2,A,C,5,C,B,681.0600000000001
GO,18,M,1,2,1,A,B,4,C,B,500.93999999999994
GO,17,M,1,1,2,B,C,4,C,B,549.98
GO,17,F,1,2,2,C,C,3,C,B,510.36
GO,19,M,1,2,2,B,C,4,D,B,568.1800000000001
GO,17,M,1,2,1,C,C,4,D,B,611.5
GO,17,F,1,2,1,A,B,2,C,B,494.02
GO,17,F,1,2,2,B,B,4,C,B,572.24
GO,18,F,1,1,1,C,B,3,C,B,435.4
GO,18,M,1,1,1,A,C,3,B,A,553.6
GO,17,M,1,2,1,B,C,4,C,B,394.84
GO,18,F,1,1,2,B,B,4,D,B,643.5799999999999
GO,20,M,1,2,1,A,A,2,A,A,442.62
GO,17,F,1,1,2,C,B,3,D,B,521.74
GO,18,F,1,2,1,A,A,3,B,B,478.68
GO,31,F,1,1,1,A,A,4,A,B,523.9799999999999
GO,17,M,1,2,2,A,C,3,D,B,606.46
GO,17,F,1,2,1,A,B,4,C,B,513
GO,17,F,1,2,1,A,C,5,B,B,672.6400000000001
GO,17,M,1,1,2,B,B,4,C,B,615.78
GO,18,F,1,2,1,C,C,5,C,B,669.4
GO,17,M,1,2,1,D,C,2,C,B,507.84
GO,18,F,1,2,1,B,B,4,C,B,521.0799999999999
GO,18,F,1,1,2,A,B,5,C,B,581.24
GO,16,M,1,2,1,A,B,3,A,A,505.9
GO,18,M,1,2,1,A,A,4,C,B,529.26
GO,17,M,1,1,2,C,C,4,D,B,692.32
GO,17,F,1,2,2,B,C,4,C,B,503.48
GO,18,F,1,1,1,D,B,2,B,B,569.48
GO,19,F,1,2,1,A,A,4,B,B,422.7
GO,18,F,1,2,1,A,B,4,A,A,497.66
GO,18,M,1,2,1,A,B,5,B,B,577.46
GO,18,F,1,2,1,B,A,4,A,B,474.18
GO,17,F,1,1,2,C,C,4,D,B,568.8199999999999
GO,18,M,1,1,2,C,C,3,D,B,647.76
GO,17,M,1,1,2,B,C,5,D,B,692.76
GO,18,M,1,2,1,A,A,8,B,A,499.3
GO,17,F,1,1,1,C,B,5,C,B,551.26
GO,18,M,1,2,1,B,B,3,B,B,621.7
GO,18,F,1,1,1,B,C,4,C,B,331.34
GO,18,F,1,2,1,B,A,3,B,A,488.3
GO,18,M,1,1,1,C,A,3,B,B,551.8199999999999
GO,18,F,1,2,1,A,A,4,C,B,455.71999999999997
GO,18,F,1,1,1,A,A,5,B,B,463
GO,17,F,1,1,1,A,A,4,B,B,475.62
GO,17,F,1,2,1,A,B,5,C,B,510.98
GO,17,M,1,2,1,A,A,4,C,B,470.08000000000004
GO,18,M,2,1,1,A,C,4,C,B,456.14
