SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
MA,17,F,1,2,1,A,A,4,A,A,401.9
MA,17,F,1,2,2,C,B,6,A,A,531.36
MA,20,M,1,2,1,D,A,4,A,A,354.52000000000004
MA,17,M,1,2,1,A,A,2,A,B,566.8
MA,19,F,1,2,1,A,B,5,A,B,539.62
MA,18,M,1,1,1,A,C,4,B,B,421.96000000000004
MA,17,M,1,2,1,A,A,2,A,A,407.9
MA,16,M,1,1,2,C,C,4,D,B,544.9
MA,18,F,1,2,1,A,A,6,B,B,524.7
MA,19,F,1,2,1,A,A,7,A,A,470.5400000000001
MA,17,M,1,1,1,A,B,4,D,B,604.46
MA,17,M,1,1,2,A,B,4,B,A,486.14
MA,17,F,1,2,1,D,A,6,A,B,568.12
MA,18,F,1,2,1,D,A,2,A,B,422.9
MA,18,F,1,2,1,A,B,4,A,A,460.71999999999997
MA,17,M,1,1,2,A,A,6,C,B,602.6800000000001
MA,17,F,1,2,1,C,C,5,D,B,519.12
MA,17,F,1,2,1,B,B,6,B,A,469.2
MA,17,F,1,2,1,A,A,3,A,A,620.1
MA,17,F,1,2,1,A,A,2,A,B,424.03999999999996
MA,17,M,1,2,1,A,B,5,B,A,391.96000000000004
MA,18,M,1,2,1,B,B,8,A,B,426.53999999999996
MA,17,F,1,2,1,A,A,6,A,A,420.0799999999999
MA,16,F,1,2,1,A,A,6,B,A,475.84
MA,18,F,1,2,1,A,A,8,B,B,527.8199999999999
MA,17,F,1,2,1,B,B,4,A,B,692.86
MA,16,F,1,1,2,B,C,3,C,B,671.4200000000001
MA,17,F,1,1,1,D,D,4,A,A,493.78000000000003
MA,17,F,1,2,1,A,A,5,A,A,420.93999999999994
MA,17,M,1,1,1,D,B,3,A,B,596.9
MA,17,F,1,1,1,A,B,4,A,A,412.84
MA,17,F,1,2,1,A,B,4,B,A,620.8399999999999
MA,20,F,1,2,1,A,A,3,A,B,420.64
MA,18,F,1,2,1,B,C,6,A,B,617.04
MA,17,M,1,2,2,B,B,5,B,B,650.6
MA,16,M,1,2,1,B,B,8,A,B,547.8
MA,16,M,1,2,1,A,C,3,D,B,514.9399999999999
MA,19,F,1,2,2,B,B,6,C,B,484.94000000000005
MA,18,F,1,1,1,A,B,5,A,A,500.58000000000004
MA,18,F,1,2,1,A,B,9,A,B,413.67999999999995
MA,17,F,1,2,1,A,A,5,B,A,404.52
MA,17,F,1,2,1,A,C,4,B,B,468.96000000000004
MA,18,M,1,2,1,B,A,4,C,A,578.1
MA,17,M,1,1,2,C,C,4,D,B,702.72
MA,18,F,1,2,1,D,B,4,A,B,495.76000000000005
MA,17,M,1,2,1,A,A,6,B,B,428.2
MA,18,F,1,2,1,B,A,4,B,B,335.7
MA,17,F,1,1,1,A,A,4,B,B,494.16
MA,18,F,1,2,1,D,A,3,A,B,313.3
MA,18,F,1,2,1,D,D,3,A,A,492.9
MA,16,F,1,2,1,A,A,3,A,B,373.91999999999996
MA,16,M,1,2,1,B,B,4,B,B,471.41999999999996
MA,17,M,1,2,1,A,C,6,A,A,547.6800000000001
MA,18,M,1,2,1,A,A,7,A,A,493.32
MA,18,F,1,1,2,B,A,5,D,B,589.5600000000001
MA,17,F,1,2,1,C,C,3,C,B,463.34000000000003
MA,18,F,1,1,1,A,B,6,A,A,535.58
MA,17,F,1,1,2,A,C,3,C,B,776.1800000000001
MA,17,F,1,2,1,D,B,7,B,B,436.3
MA,18,M,1,1,1,A,A,5,A,A,470.23999999999995
MA,17,M,1,2,1,A,B,4,B,B,370.34000000000003
MA,17,F,1,2,2,B,C,4,B,B,546.3399999999999
MA,18,F,1,1,2,B,B,3,B,B,517.76
MA,17,F,1,2,2,B,A,3,B,B,548.8399999999999
