SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
MG,19,F,1,2,1,B,B,4,A,B,459.08000000000004
MG,17,M,1,2,2,C,C,3,C,B,592.5
MG,19,F,1,2,1,B,A,5,A,A,510.93999999999994
MG,18,M,1,1,2,C,C,3,D,B,707.4799999999999
MG,17,F,1,2,1,A,A,3,B,B,414.82
MG,18,F,1,2,1,A,B,4,B,B,472.84
MG,18,F,1,2,1,A,A,5,B,A,485.7200000000001
MG,17,F,1,1,2,A,B,3,D,B,665.42
MG,24,F,1,1,1,A,A,3,A,B,484.91999999999996
MG,17,M,1,1,2,C,C,4,D,B,611.58
MG,18,M,1,2,2,C,C,3,D,B,807.24
MG,17,M,1,2,1,A,B,4,B,B,581.08
MG,18,F,1,1,1,B,C,4,C,B,587.3599999999999
MG,18,F,1,2,1,B,B,3,C,B,546.0200000000001
MG,18,M,1,1,1,A,A,4,B,B,524.36
MG,23,M,1,1,1,A,A,5,B,B,391.65999999999997
MG,18,F,1,2,1,B,B,5,A,B,516.8199999999999
MG,17,F,1,1,2,B,B,4,C,B,665.28
MG,18,F,1,2,1,A,B,6,A,B,479.62
MG,12,M,1,2,1,A,B,4,A,A,409
MG,17,M,1,1,1,A,B,5,B,A,484.37999999999994
MG,17,M,1,2,1,D,A,2,A,B,449.55999999999995
MG,17,F,1,2,1,A,B,4,A,A,523.1
MG,17,M,1,2,1,D,B,6,B,B,579.72
MG,18,M,1,2,1,B,A,4,A,A,433.82000000000005
MG,17,F,1,1,1,B,B,3,C,B,493.16
MG,19,M,1,2,1,D,B,3,A,A,508.64
MG,50,M,2,2,1,A,A,5,C,B,428.25999999999993
MG,18,F,1,1,1,B,B,5,C,B,504.6
MG,18,F,1,2,1,A,A,4,A,A,537.88
MG,17,F,1,1,1,B,A,5,B,B,591.22
MG,17,F,1,2,1,A,A,5,B,B,566.5600000000001
MG,18,F,1,1,1,A,A,4,C,B,534.6
MG,18,M,1,1,1,A,C,4,D,B,706.46
MG,17,M,1,2,1,A,B,2,B,B,615.9599999999999
MG,17,M,1,1,1,A,A,3,B,B,478.64
MG,17,F,1,2,1,A,C,3,A,B,480.18
MG,18,F,1,1,1,A,B,3,A,B,539.5799999999999
MG,18,F,1,1,1,B,C,4,C,B,646.32
MG,17,F,1,2,1,A,A,5,A,A,560.4
MG,17,M,1,1,2,A,C,4,D,B,667.96
MG,18,M,1,2,1,A,B,5,C,B,617.42
MG,18,F,1,1,1,A,C,4,D,B,626.8199999999999
MG,19,F,1,2,1,D,A,6,B,A,457.43999999999994
MG,17,M,1,2,1,C,C,2,C,B,544.58
MG,18,M,1,2,1,B,A,3,A,B,477.9200000000001
MG,18,F,1,2,1,A,B,5,B,B,457.8
MG,19,F,1,2,1,A,A,3,A,B,428.14
MG,17,F,1,2,1,A,C,5,C,B,488.98
MG,18,F,1,2,1,A,B,3,A,B,462.7200000000001
MG,17,F,1,2,1,A,A,4,C,B,501.52
MG,17,M,1,1,1,B,A,2,A,B,572.3199999999999
MG,17,M,1,1,1,A,A,4,B,B,470.7
MG,17,F,1,2,1,B,A,6,A,B,394.3
MG,19,F,1,2,1,A,C,4,D,B,730.2
MG,18,F,1,1,1,C,B,4,D,B,532.68
MG,18,M,1,2,1,B,D,4,A,A,485.3
MG,18,M,1,1,1,B,B,3,C,B,547.3
MG,18,F,1,2,1,C,B,2,B,B,600.5600000000001
MG,17,F,1,1,1,D,C,5,C,B,429.12
MG,18,M,1,2,1,A,A,3,B,A,561.0600000000001
MG,18,M,1,1,1,B,C,5,C,B,492.28000000000003
MG,18,F,1,2,1,A,B,2,B,B,510.02
MG,18,M,1,1,1,A,A,3,B,B,466.43999999999994
MG,18,M,1,1,2,C,C,4,D,B,694.2
MG,17,M,1,2,1,B,A,5,D,B,493.66
MG,18,F,1,2,1,B,A,3,C,B,571.6600000000001
MG,17,F,1,2,1,A,B,3,A,A,498.34
MG,18,M,1,1,1,B,C,4,B,B,610.5600000000001
MG,17,M,1,1,1,A,A,2,C,B,584.2
MG,18,F,1,2,1,A,B,8,B,B,503.18
MG,18,F,1,2,1,A,A,5,B,B,432.2
MG,18,M,2,1,2,B,C,4,D,B,643.74
MG,17,F,1,2,2,B,B,4,C,B,618.3799999999999
MG,19,F,1,1,1,A,C,4,C,B,509.6
MG,18,F,1,2,1,C,B,3,C,B,761.22
MG,17,F,1,2,1,A,A,4,B,B,654.3
MG,19,F,1,1,1,A,A,3,A,B,623.76
MG,18,F,1,1,2,B,B,4,C,B,719.18
MG,18,F,1,2,1,A,A,5,A,B,458.2
MG,17,F,1,2,1,B,C,8,D,B,594.14
MG,18,F,1,2,1,A,C,4,C,B,501.32
MG,17,M,1,2,1,B,A,5,C,B,482.66
MG,17,F,1,1,2,C,C,4,D,B,706.98
MG,18,M,1,2,1,A,B,5,B,B,516.8399999999999
MG,17,M,1,1,1,D,D,6,C,B,521.2
MG,18,F,1,1,1,A,A,4,B,B,452.21999999999997
MG,18,F,1,2,2,C,C,4,C,B,571.72
MG,17,M,1,2,1,B,A,3,D,B,567.2
MG,17,M,1,1,1,A,A,5,C,B,574.06
MG,17,F,1,1,2,B,B,4,D,B,567.1
MG,18,M,1,2,1,A,B,5,C,B,558.5200000000001
MG,17,M,1,2,1,B,A,2,C,B,421.86
MG,18,F,1,2,1,B,C,4,A,A,503.02
MG,18,M,1,2,1,B,B,4,B,B,531.52
MG,17,F,1,1,1,C,C,3,D,B,672.5
MG,17,M,1,2,1,A,A,3,B,B,510.86
MG,17,F,1,1,1,B,C,4,C,B,549.98
MG,18,F,1,1,1,B,C,2,C,B,594.9
MG,18,F,1,1,2,C,C,4,D,B,589.4399999999999
MG,18,F,1,2,1,A,A,7,B,B,568.22
MG,17,F,1,1,1,B,B,2,B,B,496.34
MG,16,F,1,1,1,B,C,4,C,B,651.36
MG,17,F,1,1,1,A,B,7,B,B,525.3199999999999
MG,17,F,1,2,1,A,A,4,B,B,440.08000000000004
