SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
MS,17,M,1,1,2,C,B,3,D,B,587.28
MS,18,F,1,2,1,A,A,3,A,B,632.9399999999999
MS,18,M,1,1,1,A,A,4,B,B,357.86
MS,18,F,1,1,1,B,B,4,D,A,679.3799999999999
MS,18,F,1,1,1,D,B,3,C,B,692.08
MS,17,F,1,1,1,C,C,5,D,B,551.48
MS,18,M,1,2,1,D,A,2,B,B,511.02
MS,18,F,1,2,1,B,C,3,A,A,559.0400000000001
MS,18,M,1,1,1,A,A,5,B,B,448.93999999999994
MS,19,F,1,1,1,C,A,5,C,B,511.36
MS,18,F,1,2,1,A,A,2,A,B,577.58
MS,18,F,1,2,1,B,B,8,B,B,485.36
MS,20,F,1,2,1,A,A,5,A,A,448.64
MS,17,F,1,2,1,B,A,4,B,B,548.26
MS,19,M,1,2,1,D,B,4,B,B,444.62
MS,17,F,1,1,1,B,B,4,C,B,501.08000000000004
MS,17,F,1,1,1,B,B,5,C,B,437.71999999999997
MS,20,F,1,2,1,A,A,3,A,A,453.26000000000005
MS,17,F,1,2,1,A,A,4,B,B,503.93999999999994
MS,19,M,1,2,1,A,A,7,B,A,531.1200000000001
MS,17,M,1,2,1,B,A,5,C,B,448.88
MS,17,F,1,1,1,B,B,5,D,B,547.9599999999999
MS,19,F,1,2,1,A,A,4,A,A,485.43999999999994
MS,17,F,1,2,1,D,D,5,B,B,487.12
MS,17,F,1,2,1,B,B,5,A,B,371.73999999999995
MS,18,F,1,1,1,B,B,5,C,B,525.78
MS,18,F,1,1,1,B,B,3,C,A,526.8
MS,17,M,1,2,1,B,C,2,C,B,621.5600000000001
MS,18,F,1,2,1,A,A,3,B,B,533.5
MS,18,F,1,2,1,A,B,1,C,A,458.48
MS,18,F,1,2,1,C,B,6,D,B,448.62
MS,17,F,1,1,1,D,B,4,C,B,407.94000000000005
MS,18,F,1,1,1,A,C,3,B,B,482.41999999999996
MS,17,M,1,1,1,A,A,4,B,A,411.96000000000004
MS,18,F,2,2,1,B,B,2,B,B,527.7
MS,18,F,1,2,1,A,C,4,B,B,545.04
MS,18,F,1,2,1,B,B,3,C,B,474.58000000000004
MS,18,F,1,1,2,A,A,5,B,B,503.43999999999994
MS,18,M,1,2,1,B,B,2,C,B,558.22
MS,18,F,1,1,2,C,C,5,D,B,569.1200000000001
MS,18,F,1,1,1,A,A,6,B,B,532.32
MS,18,F,1,1,1,D,A,3,A,B,545.92
MS,17,F,1,2,1,A,A,4,C,B,459.38
MS,17,F,1,2,2,B,C,3,C,B,635.28
MS,24,F,1,2,1,A,A,6,B,A,392.82
MS,18,F,1,2,2,C,C,5,C,B,641.8399999999999
MS,17,F,1,1,1,B,C,4,C,B,559.74
MS,17,F,1,1,1,A,A,5,C,B,433.96000000000004
MS,18,M,1,1,1,B,C,5,C,B,586.2
MS,17,F,1,1,1,B,A,5,B,B,393.74
MS,19,F,1,2,1,B,A,4,C,B,429.5
MS,19,F,1,2,1,A,A,7,C,A,451.5799999999999
MS,17,M,1,1,1,A,B,4,C,B,426.88
MS,17,F,1,1,2,C,C,4,C,B,596
MS,17,F,1,2,1,C,C,5,D,B,552.1200000000001
MS,17,F,1,2,1,A,A,4,B,A,381.23999999999995
MS,17,M,1,2,1,A,A,5,B,A,435.16
MS,18,F,1,2,1,A,B,2,B,B,421.76000000000005
MS,17,F,1,1,1,B,B,4,C,B,642.4
MS,17,F,1,1,1,D,B,3,B,A,458.91999999999996
MS,18,F,1,1,1,C,A,4,B,B,480.03999999999996
MS,17,M,1,1,2,C,C,4,D,B,601.18
MS,17,M,1,1,1,C,C,3,C,B,625.9200000000001
MS,17,F,1,2,1,D,D,3,A,A,495.73999999999995
MS,17,F,1,2,1,A,B,3,B,A,460.76000000000005
MS,18,F,1,2,1,C,C,4,C,B,525.5600000000001
MS,17,F,1,1,1,A,A,4,B,B,431.38
MS,17,F,1,2,1,A,C,4,D,B,581.9399999999999
MS,18,F,1,2,1,D,A,5,B,B,444.5200000000001
MS,18,M,1,2,1,D,C,3,C,B,480.53999999999996
MS,17,F,1,1,1,A,C,3,D,B,708.2
MS,19,F,1,2,1,B,B,3,B,B,537.9
MS,18,F,1,2,1,B,B,2,A,A,486.08000000000004
MS,17,F,1,2,1,A,A,3,B,B,585.8799999999999
MS,18,F,1,2,1,A,A,4,B,A,467.64
MS,17,M,1,1,1,B,C,3,C,B,542.1200000000001
MS,17,M,1,1,1,B,B,4,B,A,493.76000000000005
MS,17,F,1,2,1,A,A,5,A,B,476.5200000000001
