SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
MT,17,F,1,1,1,A,B,3,C,B,519.86
MT,17,F,1,2,1,D,B,5,B,B,431.7
MT,18,M,1,1,1,A,C,4,C,B,578.6800000000001
MT,18,M,1,1,1,A,B,5,C,B,500.2
MT,17,F,1,2,1,A,B,6,C,B,568.36
MT,16,F,1,2,1,A,B,6,A,B,487.34
MT,18,F,1,2,1,D,B,5,B,B,414.28000000000003
MT,18,M,1,2,1,A,C,3,B,A,394.43999999999994
MT,18,F,1,2,1,B,C,3,A,B,571.12
MT,18,F,2,2,1,A,B,6,B,A,458.6
MT,18,M,1,2,1,B,B,4,B,B,505.03999999999996
MT,17,F,1,1,1,B,C,6,C,B,537.54
MT,18,M,1,2,1,A,A,3,B,A,343.06000000000006
MT,17,M,1,2,1,A,A,4,A,A,379.18
MT,18,F,1,2,1,A,A,4,C,A,443.36
MT,17,F,1,2,1,D,B,5,B,A,516.36
MT,18,F,1,2,1,B,C,4,C,B,488.5
MT,18,F,1,1,1,A,C,4,C,B,438.66
MT,18,M,1,2,1,A,A,3,B,B,472.34
MT,17,F,1,2,1,B,B,4,C,B,459.52
MT,17,F,1,2,1,B,B,5,B,A,474.93999999999994
MT,18,F,1,2,1,D,A,4,B,B,542.0200000000001
MT,18,F,1,2,1,B,A,5,B,B,492.5799999999999
MT,18,F,1,2,1,A,C,4,C,B,445.5
MT,18,F,1,1,1,B,C,4,B,B,477.5
MT,17,F,1,2,1,D,B,2,B,B,484.73999999999995
MT,16,F,1,2,2,C,C,2,C,B,698.36
MT,17,M,1,2,1,A,A,5,C,B,445.96000000000004
MT,18,F,1,1,1,A,B,4,B,A,438.58000000000004
MT,17,F,1,2,1,A,A,5,B,B,406.26
MT,17,M,1,2,2,C,C,4,D,B,636.5600000000001
MT,17,F,1,2,1,A,B,7,B,B,428.91999999999996
MT,18,F,1,2,1,B,C,2,B,B,453.36
MT,18,M,1,1,1,D,B,2,C,B,494.23999999999995
MT,18,F,1,1,1,A,B,5,C,B,445.28000000000003
MT,17,F,1,2,1,C,C,6,B,B,428.08000000000004
MT,17,M,1,1,1,A,C,4,B,B,557.1600000000001
MT,17,F,1,2,1,C,C,4,C,B,614.82
MT,17,M,1,2,1,A,B,4,C,B,495.37999999999994
MT,17,F,1,1,1,A,B,5,B,B,591.4799999999999
MT,17,M,1,2,1,D,A,2,A,B,516.42
MT,17,F,1,2,1,A,B,3,B,A,426.67999999999995
MT,18,M,1,1,1,B,A,4,B,B,531.1600000000001
MT,18,M,1,1,1,A,A,3,C,B,474.6
MT,17,M,1,1,1,A,A,3,B,B,425.16
MT,17,F,1,2,1,B,B,5,A,B,437.28000000000003
MT,17,M,1,1,1,C,C,4,C,B,402.66
MT,18,F,1,2,1,A,B,3,B,B,559.14
MT,17,F,1,2,1,B,C,4,C,B,441.86
MT,18,F,1,1,1,A,C,3,B,B,452.4599999999999
MT,17,F,1,1,2,C,C,4,D,B,649.32
MT,18,M,1,2,1,A,A,5,C,B,437.21999999999997
MT,18,F,1,1,1,A,A,4,B,B,504.1
MT,17,F,1,2,1,A,B,3,C,A,480.23999999999995
MT,18,F,1,2,1,B,B,3,B,B,383.36
MT,32,F,2,2,1,B,B,2,B,A,514.92
MT,17,M,1,1,1,A,A,4,B,B,477.96000000000004
MT,18,M,1,2,1,B,B,3,B,B,422.34
MT,18,F,1,1,1,B,B,4,D,B,573.84
MT,17,F,1,2,1,B,A,5,B,B,569.72
MT,33,M,2,2,1,A,A,4,B,B,435.34
MT,17,M,1,2,1,A,B,3,B,B,531.5
MT,19,M,1,2,1,A,A,5,A,B,546.9
MT,19,F,1,2,1,A,A,4,A,A,445.84
MT,16,F,1,1,1,A,A,3,A,A,482.21999999999997
