SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
PA,19,M,1,2,1,A,B,6,A,A,392
PA,17,M,1,2,2,C,B,3,C,A,505.5
PA,21,F,1,2,1,D,D,4,B,B,395.4599999999999
PA,20,F,1,1,1,A,A,5,A,B,509.9200000000001
PA,17,F,1,2,1,B,B,3,A,B,578.9799999999999
PA,20,F,1,2,1,A,A,5,A,B,510.96000000000004
PA,17,F,1,1,2,C,B,3,C,B,600.98
PA,19,F,1,2,2,A,B,4,C,B,333.72
PA,18,F,1,1,1,A,A,8,B,B,465.93999999999994
PA,17,M,1,2,1,D,C,8,B,A,510.4799999999999
PA,18,M,1,1,1,A,A,5,A,A,461.32000000000005
PA,28,M,2,2,1,B,A,3,A,A,456.87999999999994
PA,59,F,2,1,1,B,A,2,B,A,445.02
PA,17,F,1,2,1,D,B,5,A,B,565.24
PA,21,F,1,1,1,A,A,4,A,A,413.4
PA,18,F,1,1,2,B,B,4,B,B,553.72
PA,17,F,1,2,1,B,A,10,C,B,432.6
PA,17,M,1,1,1,A,B,4,B,B,388.08
PA,17,M,1,2,1,A,D,2,A,A,328.86
PA,18,F,1,1,1,A,A,5,B,A,482.32
PA,17,F,1,2,1,B,C,5,C,B,634.6600000000001
PA,18,F,1,1,2,B,B,2,A,A,546.3199999999999
PA,19,F,1,2,1,D,A,3,A,B,429.46000000000004
PA,18,M,1,2,1,A,B,6,B,A,545.56
PA,19,F,1,2,1,A,A,4,A,A,338.12
PA,18,M,1,2,1,A,C,6,C,B,477.36
PA,20,F,2,2,1,A,A,3,A,A,429.17999999999995
PA,18,M,1,2,2,C,C,5,D,B,732.46
PA,18,F,1,2,1,A,B,2,A,B,418.84
PA,18,F,1,2,1,A,B,2,A,A,488.74000000000007
PA,18,M,1,2,1,B,B,8,A,A,508.2
PA,17,M,1,1,1,D,B,7,A,B,535.46
PA,18,F,1,2,1,C,C,4,D,B,491.2
PA,17,F,1,2,1,B,A,4,A,A,464.34
PA,17,M,1,2,1,A,A,5,B,B,525.3199999999999
PA,19,F,1,2,1,A,A,4,A,A,585.8399999999999
PA,19,M,1,2,1,D,B,4,A,B,336.56000000000006
PA,18,F,1,2,2,C,A,4,D,B,498.14
