SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
PB,18,F,1,2,1,D,D,4,A,B,454.8
PB,18,M,1,1,2,C,C,4,D,B,535.22
PB,18,M,1,2,1,A,B,4,A,B,423.06000000000006
PB,17,F,1,1,1,B,B,4,C,B,494.91999999999996
PB,18,F,1,2,1,A,A,3,A,B,452.26000000000005
PB,17,F,1,1,1,A,A,5,A,B,535.8199999999999
PB,19,F,1,2,1,A,A,5,B,B,500.24000000000007
PB,17,F,1,2,1,A,A,3,A,A,472.91999999999996
PB,18,F,1,2,1,A,A,4,A,B,531.9
PB,17,M,1,1,1,A,A,4,C,B,641.6600000000001
PB,19,F,1,2,1,A,B,5,B,B,456.5200000000001
PB,19,M,1,2,1,A,A,3,B,B,601.02
PB,17,M,1,2,2,C,C,2,D,B,669.1
PB,21,F,1,1,1,A,B,4,B,B,375.94
PB,17,F,1,2,1,A,A,4,A,B,656.9
PB,19,M,1,2,1,A,A,4,A,B,367.2
PB,18,F,1,2,1,A,A,6,A,A,399.94
PB,17,F,1,2,2,B,B,3,A,B,638.9399999999999
PB,18,F,1,2,1,B,C,3,A,B,478.67999999999995
PB,17,M,1,2,2,B,B,3,B,B,592.5200000000001
PB,19,M,1,1,2,A,B,3,C,B,445.23999999999995
PB,17,F,1,2,1,A,A,4,B,A,474.1
PB,19,M,1,2,1,A,A,4,A,A,543.38
PB,19,F,1,2,1,A,A,10,A,A,501.12
PB,23,M,1,2,1,D,A,2,A,A,341.08000000000004
PB,19,F,1,1,2,C,C,4,D,B,623.26
PB,18,M,1,1,2,C,B,4,C,B,520.96
PB,17,F,1,2,1,B,B,6,A,A,479.25999999999993
PB,18,F,1,2,1,B,A,3,B,B,535.3399999999999
PB,20,M,1,2,1,A,A,5,A,B,402.52
PB,19,M,1,2,1,A,A,5,A,B,356.73999999999995
PB,17,F,1,2,1,B,B,5,B,B,564.4399999999999
PB,16,F,1,2,1,A,C,5,B,A,559.48
PB,18,M,1,1,1,A,A,5,A,B,481.53999999999996
PB,16,F,1,1,1,A,C,4,C,B,607.4799999999999
PB,17,M,1,2,1,B,B,3,A,A,550.12
PB,18,M,1,2,1,A,A,4,A,A,319.43999999999994
PB,19,F,1,1,1,A,A,5,A,B,438.03999999999996
PB,17,F,1,1,1,B,A,3,C,B,688.7
PB,17,F,1,1,2,C,C,4,D,B,726.64
PB,19,M,1,1,1,A,A,4,C,B,348.48
PB,17,M,1,2,2,B,B,3,C,B,554.3799999999999
PB,19,F,1,2,1,A,A,6,A,A,582.6800000000001
PB,17,F,1,2,1,A,A,2,A,A,451.03999999999996
PB,17,M,1,1,1,A,B,5,A,B,457.62
PB,17,F,1,2,2,A,B,4,C,B,527.5799999999999
PB,16,F,1,1,2,C,C,5,C,B,611.12
PB,17,M,1,2,1,A,A,5,A,B,394.28000000000003
PB,17,F,1,2,1,A,C,3,B,B,516.42
PB,16,F,1,2,1,D,B,2,B,B,595.52
PB,17,F,1,2,1,B,B,4,A,A,461.58000000000004
PB,17,M,1,1,2,C,C,5,C,B,477.4
PB,17,F,1,2,2,C,C,5,D,B,650.9
PB,17,M,1,2,1,A,A,4,A,B,509.71999999999997
PB,17,F,1,2,1,B,B,3,A,B,481.38
PB,16,M,1,1,2,C,C,4,C,B,628.74
PB,18,M,1,2,1,D,A,2,A,B,595.8
PB,20,M,1,1,2,C,A,3,C,B,482.91999999999996
PB,17,F,1,1,2,A,B,4,B,B,709.88
PB,19,M,1,2,1,D,B,2,A,B,477.62000000000006
PB,20,M,1,2,1,A,B,4,A,B,528.74
PB,17,F,1,1,1,B,B,3,A,B,633.38
PB,17,F,1,1,2,C,B,6,D,B,733.58
PB,18,F,1,2,1,A,A,4,A,B,463.5200000000001
PB,17,F,1,2,1,A,A,3,A,A,483.98
PB,17,F,1,2,1,A,C,3,A,A,520.68
PB,17,F,1,2,1,A,B,4,B,B,495.48
PB,17,F,1,2,1,A,A,2,B,B,500.82
PB,18,M,1,1,1,A,B,5,B,B,519.28
PB,17,F,1,1,1,A,A,3,A,B,463.02
PB,17,F,1,2,1,A,A,5,A,B,560.1
PB,18,F,1,2,1,A,A,7,C,B,541.6600000000001
PB,18,M,1,2,1,A,A,3,A,B,404.62
PB,17,F,1,1,1,A,A,5,C,B,462.66
PB,18,M,1,2,1,A,C,4,C,B,674.48
PB,18,F,1,2,1,A,B,5,B,B,547.5
PB,18,M,1,2,1,A,A,4,B,B,603.1800000000001
PB,18,F,1,2,1,B,B,3,B,B,503.26000000000005
PB,17,M,1,1,1,A,A,5,A,B,632.74
PB,17,M,1,1,1,C,C,3,B,B,504.2
PB,17,F,1,2,1,A,B,4,A,B,512.86
PB,18,F,1,1,1,A,A,2,A,B,342.84000000000003
PB,16,M,1,2,1,A,C,3,C,B,460.87999999999994
PB,17,M,1,2,1,B,A,4,A,B,557.5
PB,18,F,1,1,1,B,B,3,C,B,594.98
PB,19,M,1,2,1,A,A,5,A,A,473.02
PB,17,M,1,1,1,A,A,5,A,B,537.8
PB,18,M,1,1,1,A,A,5,B,B,482.82
PB,18,M,1,2,1,A,B,6,A,B,322.1
PB,19,M,1,2,1,B,A,3,A,B,413.02
PB,17,M,1,2,1,A,A,6,B,B,598.24
PB,16,F,1,1,1,B,B,3,A,B,585.74
PB,18,F,1,2,1,B,B,4,B,B,342.34000000000003
PB,17,F,1,2,2,C,C,3,B,B,562.02
PB,17,F,1,2,1,A,A,4,A,A,469.4
PB,35,F,2,1,1,A,A,3,A,B,413.4
PB,17,F,1,1,2,C,C,3,D,B,709.4
PB,19,M,1,2,2,A,A,3,B,B,643.6400000000001
PB,17,F,1,2,1,C,B,7,D,B,616.28
PB,17,F,1,2,1,B,B,4,B,B,629.3399999999999
PB,40,M,2,2,1,A,A,4,B,B,519.64
PB,16,M,1,2,2,C,C,2,D,B,735.4399999999999
PB,18,F,1,1,1,A,A,5,A,B,446.18
PB,19,F,1,1,1,A,A,5,A,A,457.4
PB,17,M,1,1,2,B,B,4,C,B,644.26
PB,18,M,1,2,1,A,A,4,B,B,604.6800000000001
PB,19,M,1,2,1,A,A,4,A,A,443.1
PB,17,M,1,2,1,A,A,7,B,A,646.62
PB,17,F,1,2,1,C,B,4,A,B,662.72
PB,29,F,1,2,1,A,A,3,B,B,520.5
PB,18,F,1,1,2,B,C,3,D,B,704.74
PB,17,F,1,1,2,A,B,3,C,B,625.9399999999999
PB,19,F,1,2,1,A,A,4,A,B,453.8
PB,18,F,1,2,1,A,A,6,A,B,505.34000000000003
PB,18,F,1,1,1,C,B,3,A,B,671.34
PB,18,M,1,2,1,D,C,4,B,B,537.26
PB,17,F,1,2,2,A,A,6,B,B,655.86
PB,19,F,1,1,1,A,A,7,A,B,526.8399999999999
PB,19,M,1,1,1,B,B,3,B,B,375.12
PB,17,M,1,1,2,B,B,4,C,B,675.3
PB,25,F,1,2,1,A,A,5,B,B,448.93999999999994
PB,18,M,1,2,1,A,A,4,B,B,380.46000000000004
PB,22,F,1,1,1,A,A,6,A,A,404.91999999999996
PB,17,F,1,2,1,A,A,6,C,B,470.86
PB,17,F,1,1,2,A,C,2,B,B,505.94000000000005
PB,18,M,1,1,2,B,B,2,A,B,631.58
PB,16,F,1,1,1,B,B,2,A,B,584.42
PB,18,M,1,2,1,A,A,3,A,A,450
PB,19,F,1,2,1,D,A,4,A,B,534.9399999999999
PB,16,F,1,1,2,B,B,4,B,B,498.76000000000005
PB,19,M,1,2,1,A,A,2,A,B,497.34
PB,18,M,1,2,1,A,A,5,A,B,492.82
PB,18,F,1,1,1,A,A,3,A,A,390.32
PB,18,M,1,2,2,B,B,2,A,B,477.38
PB,18,M,1,2,2,B,C,3,A,B,600.64
PB,20,M,1,2,1,B,B,4,B,B,494.62
PB,16,F,1,1,1,B,B,4,A,B,502.73999999999995
PB,18,F,1,2,2,C,B,3,B,B,634.1200000000001
