SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
PE,18,M,1,1,1,A,A,4,A,B,599.08
PE,18,M,1,1,1,A,A,6,A,B,526.1600000000001
PE,19,F,1,1,1,A,B,4,B,B,496.1
PE,18,F,1,2,1,D,B,5,A,B,412.03999999999996
PE,16,M,1,2,1,A,B,5,C,B,484.3
PE,17,F,1,2,1,A,C,4,B,B,442.9799999999999
PE,17,F,1,2,1,A,C,4,C,B,521.5200000000001
PE,18,M,1,1,2,B,B,3,A,B,537.6200000000001
PE,18,F,1,2,1,A,A,3,A,A,513.14
PE,18,M,1,1,1,B,B,4,B,B,443.62
PE,18,F,1,1,1,B,A,4,A,B,492.4
PE,19,M,1,1,1,A,A,3,A,B,343.56
PE,18,M,1,2,1,A,A,4,A,A,406.68
PE,17,M,1,2,1,B,A,4,C,B,503.64
PE,19,M,1,2,1,A,A,5,A,B,354.64
PE,17,F,1,2,1,A,A,4,A,A,520.2
PE,16,F,1,2,1,A,B,4,A,B,433.34
PE,18,F,1,2,1,A,A,6,B,B,356.62
PE,17,F,1,1,1,A,A,5,B,B,545.6800000000001
PE,17,F,1,1,2,C,C,3,D,B,520.1400000000001
PE,18,F,1,2,2,A,B,4,A,B,550.74
PE,17,M,1,2,2,B,B,3,B,B,573.62
PE,16,F,1,1,1,B,B,2,A,A,478.9799999999999
PE,17,F,1,2,1,A,A,4,A,A,395.7
PE,17,F,1,2,1,C,B,5,D,B,582.72
PE,17,F,1,2,1,A,B,4,B,B,468.82
PE,17,F,1,1,1,A,A,5,A,B,441.98
PE,18,M,1,2,1,A,B,4,A,B,629.9399999999999
PE,18,F,1,2,1,A,A,7,A,A,608.98
PE,17,F,1,2,1,A,A,6,A,B,457.36
PE,19,M,1,2,1,B,B,4,B,B,565.1
PE,17,M,1,2,1,A,A,4,A,A,478.03999999999996
PE,17,M,1,1,1,A,A,4,A,A,556.76
PE,19,M,1,1,1,A,A,4,B,B,333.04
PE,17,F,1,1,1,B,A,5,C,B,499.76000000000005
PE,17,M,1,1,1,A,B,4,A,B,657.3
PE,17,F,1,1,1,A,A,5,B,B,427.34
PE,16,F,1,2,1,B,B,4,B,B,455.16
PE,20,M,1,2,1,D,B,4,A,B,434.5200000000001
PE,18,M,1,2,1,A,B,4,A,B,467.1
PE,18,F,1,2,1,A,A,4,A,A,451.08000000000004
PE,17,F,1,2,1,A,A,6,A,A,399.32
PE,16,F,1,2,1,A,A,4,B,B,422.2200000000001
PE,17,M,1,2,1,B,C,6,C,B,389.52
PE,18,M,1,2,1,A,B,5,B,B,489.2
PE,22,F,1,2,1,A,A,9,B,A,450.66
PE,18,F,1,2,1,A,B,5,A,B,470.64
PE,20,F,1,1,1,A,B,4,A,A,391.08000000000004
PE,18,M,1,2,1,A,A,6,B,B,488.7799999999999
PE,17,M,1,2,1,B,B,4,C,B,441.3
PE,17,F,1,1,1,B,A,6,A,B,510.7799999999999
PE,17,F,1,2,1,B,B,4,A,A,498.68
PE,18,M,1,2,1,A,D,3,A,A,321.74
PE,16,M,1,2,1,A,A,6,A,A,493.21999999999997
PE,24,M,1,2,1,C,C,4,D,B,495.21999999999997
PE,18,M,1,2,1,A,A,4,A,A,447.68
PE,17,F,2,2,1,A,A,6,B,A,433.3
PE,17,M,1,2,1,A,A,4,A,A,520.12
PE,16,M,1,2,2,A,A,3,B,B,567.1200000000001
PE,17,M,1,2,1,D,B,5,B,B,607.3399999999999
PE,16,M,1,2,1,A,A,3,B,A,481.88
PE,17,M,1,2,1,A,A,5,A,A,420.43999999999994
PE,17,F,1,1,1,D,D,4,A,B,428.08000000000004
PE,18,F,1,1,2,C,B,2,C,B,572.58
PE,17,F,1,1,1,A,A,7,B,B,497.5
PE,17,F,1,2,2,D,C,4,C,B,568.1200000000001
PE,17,F,1,2,1,A,B,4,B,B,380.82
PE,17,F,1,2,1,A,B,6,B,B,613.3799999999999
PE,17,M,1,2,2,B,A,3,B,B,537.72
PE,17,F,1,2,1,A,A,6,B,A,515.5799999999999
PE,23,M,1,2,1,A,A,4,A,A,397.06000000000006
PE,17,M,1,2,1,A,B,3,A,A,582.12
PE,18,M,1,2,1,B,A,2,A,B,403.43999999999994
PE,17,F,1,1,1,B,B,5,A,B,443.76000000000005
PE,18,F,1,2,1,A,A,3,A,A,493.71999999999997
PE,19,M,1,2,1,C,D,4,A,B,565.5600000000001
PE,17,M,2,1,1,A,A,2,A,B,369.88
PE,17,F,1,2,2,B,B,4,C,B,659.1800000000001
PE,17,F,1,2,1,A,A,5,A,A,523.28
PE,18,F,1,2,1,A,A,3,B,B,519.14
PE,17,M,1,2,1,C,D,3,B,B,573.72
PE,19,F,1,2,1,B,B,3,A,B,496.73999999999995
PE,18,F,1,2,1,A,D,3,A,B,425.78000000000003
PE,17,M,1,2,1,A,A,4,A,A,510.34
PE,18,F,1,2,1,A,D,6,A,B,492.5200000000001
PE,16,F,1,2,2,B,B,4,B,B,634.3399999999999
PE,17,F,1,1,1,A,B,4,A,B,550.9399999999999
PE,18,M,1,2,2,C,C,4,D,B,619.72
PE,17,F,1,2,1,B,B,4,B,B,476.5400000000001
PE,18,F,1,1,1,D,D,4,A,B,437.82
PE,19,M,1,2,1,B,B,3,B,B,426.0200000000001
PE,16,M,1,2,1,B,B,2,A,B,483.37999999999994
PE,17,F,1,2,1,A,A,5,A,B,427.18
PE,17,M,1,1,1,B,B,3,B,B,603.22
PE,16,F,1,1,1,A,D,3,B,B,605.22
PE,20,F,1,2,1,A,A,3,A,B,427.03999999999996
PE,17,F,1,1,1,B,B,2,B,B,496.53999999999996
PE,18,F,1,1,2,B,B,3,C,B,632.5600000000001
PE,17,M,1,2,1,A,A,5,B,B,549.08
PE,18,F,1,1,1,B,A,4,B,B,525.08
PE,17,F,1,2,1,A,A,4,A,A,503.9599999999999
PE,17,M,1,2,1,B,B,7,A,A,657.3799999999999
PE,18,M,1,1,1,A,A,4,A,B,465.76000000000005
PE,16,F,1,1,1,B,B,5,A,B,499.96000000000004
PE,17,M,1,2,1,B,B,3,A,B,581.6600000000001
PE,18,M,1,1,2,C,C,3,D,B,611.78
PE,19,M,1,2,2,B,C,4,D,B,599.64
PE,17,F,1,2,1,A,B,5,B,A,524.3799999999999
PE,18,M,1,2,2,C,C,5,D,B,650.8599999999999
PE,18,M,1,2,1,A,A,3,B,B,516.0600000000001
PE,18,M,1,2,1,A,B,4,A,B,490.26000000000005
PE,16,F,1,2,1,A,C,2,D,B,445.5200000000001
PE,18,F,1,2,1,A,A,6,A,B,466.16
PE,17,M,1,2,1,B,B,5,A,A,586.4799999999999
PE,17,F,1,2,1,C,A,3,C,B,466.02
PE,18,F,1,1,1,B,B,3,A,B,502.14
PE,17,M,1,1,1,B,A,3,A,A,491.1
PE,17,M,1,2,1,D,A,3,A,A,481.24000000000007
PE,19,M,1,2,1,D,A,7,B,B,453.8
PE,17,F,1,2,1,D,C,4,C,B,532.54
PE,17,F,1,2,1,A,A,3,A,A,566.14
PE,17,F,1,2,1,A,B,3,A,B,627.28
PE,17,F,1,2,1,B,A,4,B,B,491.52
PE,17,F,1,1,1,A,A,4,A,B,473.18
PE,18,F,1,1,1,A,A,4,B,B,535.78
PE,21,M,1,1,1,B,B,2,A,B,439.1
PE,18,F,1,2,1,A,B,2,A,A,507.26000000000005
PE,18,F,1,2,1,B,B,3,C,B,538.6800000000001
PE,17,F,1,2,2,D,C,4,B,B,651.6600000000001
PE,21,M,1,1,1,A,A,4,A,A,449.91999999999996
PE,19,M,1,2,1,B,D,4,A,B,407.48
PE,18,F,1,2,1,D,A,4,A,B,491.46000000000004
PE,17,F,1,2,1,A,A,5,B,B,398.1
PE,46,F,1,2,1,A,B,4,B,B,377.48
PE,17,F,1,2,1,B,C,4,C,B,478.66
PE,17,M,1,2,1,A,C,6,B,B,570.52
PE,18,F,1,1,2,B,B,5,C,B,565.74
PE,17,F,1,2,1,A,A,8,A,A,437.6
PE,17,F,1,1,1,A,B,3,A,B,495.84000000000003
PE,18,M,1,2,1,A,A,4,B,B,476.64
PE,18,M,1,2,1,A,A,3,A,B,395.64
PE,16,M,1,1,2,B,B,4,C,B,493
PE,18,F,1,2,1,A,B,4,A,B,481.52
PE,17,F,1,2,1,A,A,5,B,B,407.76000000000005
PE,18,M,1,2,1,C,A,2,B,B,673.7
PE,18,F,1,2,1,A,A,2,A,A,477.62000000000006
PE,18,M,1,1,2,C,C,3,D,B,707.0600000000001
PE,41,F,1,2,1,A,A,4,B,B,304.32000000000005
PE,16,F,1,2,2,C,C,5,C,B,441.88
PE,18,M,1,2,1,A,A,6,B,B,485.91999999999996
PE,18,F,1,2,1,D,A,3,A,A,483.71999999999997
PE,18,F,1,2,1,A,A,5,A,B,535.2
PE,19,F,1,2,1,B,A,4,A,B,399.14
PE,17,M,1,1,1,A,C,4,C,B,524.78
PE,17,F,1,2,1,A,A,2,A,B,563.24
PE,19,F,1,2,1,A,A,4,A,B,426.1
