SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
PI,19,F,1,2,1,A,A,6,A,A,459.21999999999997
PI,23,F,2,2,1,A,A,6,B,B,354.7
PI,46,F,2,2,1,A,A,4,A,B,342.93999999999994
PI,17,F,1,2,1,A,A,5,A,A,478.62
PI,17,M,1,2,1,B,B,2,A,B,582.78
PI,20,F,1,2,1,D,B,3,C,B,300.86
PI,18,F,1,2,1,A,A,4,B,A,519.6800000000001
PI,17,F,1,2,1,A,A,4,A,A,508.23999999999995
PI,17,F,1,1,2,A,B,6,C,B,647.42
PI,17,M,1,2,2,B,C,5,B,A,565.74
PI,18,M,1,2,1,A,A,5,A,A,519.7
PI,17,F,1,1,1,A,A,3,A,B,512.5
PI,18,F,1,2,1,A,B,3,A,B,329.6
PI,18,F,1,2,2,C,B,4,B,B,600.4
PI,18,M,1,1,1,A,A,4,C,B,648.64
PI,17,M,1,2,1,A,A,5,B,B,673.9399999999999
PI,17,F,1,2,1,D,D,4,B,A,498.03999999999996
PI,17,M,1,2,1,A,A,7,A,A,469.93999999999994
PI,17,M,1,2,1,A,B,5,B,B,578.08
PI,19,F,1,2,1,C,C,3,C,A,475.41999999999996
PI,18,F,1,1,1,A,A,2,A,B,611.88
PI,19,F,1,2,1,A,B,4,A,A,458.6
PI,18,M,1,2,1,A,A,6,B,B,483.18
PI,19,M,1,2,1,B,C,5,A,B,492.03999999999996
PI,17,F,1,2,1,D,D,6,A,B,444.32
PI,18,M,1,1,2,B,B,4,A,B,667.28
PI,18,F,2,2,1,A,A,4,A,B,520.04
PI,18,F,1,2,1,B,B,4,B,A,553.54
PI,27,F,1,1,1,D,D,5,C,B,489.0400000000001
PI,19,F,1,1,1,A,C,6,B,A,450
PI,44,F,1,2,1,A,A,4,A,B,397.66
PI,17,F,1,2,1,A,A,7,A,B,343.02
PI,17,M,1,2,2,C,C,3,A,B,493.06000000000006
PI,17,F,1,2,1,A,A,3,B,B,476.2799999999999
PI,17,F,1,2,1,A,B,4,A,B,593.6
PI,17,F,1,1,1,A,A,3,A,A,447.73999999999995
PI,17,F,1,2,1,A,A,7,A,A,538.06
PI,17,M,1,2,1,B,B,4,B,B,620.7
PI,18,M,1,1,1,A,A,4,B,B,596.3
PI,17,M,1,2,1,D,A,5,A,A,482.4
PI,19,M,1,2,2,C,B,4,D,A,775.06
PI,17,F,1,2,1,A,B,2,A,B,518
PI,18,M,1,2,1,A,B,3,A,A,324.42
PI,20,M,1,1,1,B,B,2,A,B,450.3
PI,18,F,1,2,2,C,C,3,D,B,629.52
PI,17,F,1,2,1,B,B,5,A,B,658.38
PI,18,F,1,2,1,A,A,6,A,A,455.4
PI,18,M,1,2,2,D,C,5,B,B,513.96
PI,17,M,1,2,1,A,B,6,A,A,396.36
PI,17,F,1,2,1,A,A,5,B,B,613.4
PI,22,F,1,2,1,A,A,4,A,A,456.46000000000004
PI,17,M,1,2,1,A,B,5,B,B,537.44
PI,19,F,1,2,1,A,A,4,A,A,439.7
PI,17,F,1,2,1,A,A,5,A,A,483.58000000000004
PI,18,F,1,2,1,A,A,3,A,B,480.8
PI,17,F,1,2,1,A,A,3,A,A,620.0600000000001
PI,17,M,1,2,1,B,B,4,B,B,535.46
PI,20,F,1,2,1,A,A,5,A,A,449.14
PI,18,F,1,1,1,A,B,4,A,A,465.67999999999995
PI,22,F,1,2,1,A,D,3,A,A,403.00000000000006
PI,17,F,1,2,1,A,A,5,A,B,521.98
PI,19,F,1,2,1,B,B,5,B,A,424.9799999999999
PI,18,F,1,2,1,A,A,5,B,B,498.34
PI,19,M,1,1,2,C,C,3,D,B,589.76
PI,17,F,1,1,1,A,B,5,B,B,569.26
PI,17,F,1,2,1,A,A,5,B,B,510.68
PI,18,M,1,2,1,A,A,5,A,A,486.16
PI,18,M,1,2,1,A,A,6,A,A,499.12000000000006
PI,19,M,1,2,1,B,A,3,B,A,440.48
PI,18,M,1,1,1,A,A,4,A,A,507.96000000000004
PI,17,F,1,2,1,A,A,4,A,B,369.96
PI,19,M,1,1,1,A,A,9,B,A,479.3
PI,17,M,2,2,1,A,B,4,B,B,540.08
PI,47,M,2,1,1,A,B,4,B,B,471.34
PI,18,F,1,2,1,A,B,3,A,A,543.3399999999999
PI,18,F,1,2,1,D,D,3,A,B,401.71999999999997
PI,17,F,1,2,1,A,A,4,B,B,539.72
PI,17,F,1,2,1,A,B,4,A,B,494.88
PI,19,F,1,2,1,A,C,6,B,B,632.74
PI,18,M,1,2,1,D,B,6,C,B,410.4200000000001
PI,17,F,1,2,2,A,B,3,D,B,702.72
PI,16,M,1,2,1,A,B,7,A,B,429.66
PI,19,F,1,2,1,A,A,4,A,A,513.36
PI,17,F,1,2,1,A,C,3,C,B,548.96
PI,17,F,1,2,1,A,B,3,B,A,658.9399999999999
PI,18,M,1,1,1,D,C,3,C,B,505.7200000000001
PI,17,F,1,2,1,A,C,3,C,B,527.1600000000001
PI,18,M,1,1,1,A,A,5,A,A,548.6800000000001
PI,18,F,1,2,2,C,B,2,C,B,610.68
PI,18,F,1,2,1,B,B,5,C,B,630.3
PI,17,F,1,2,2,B,B,3,C,B,597.28
PI,17,F,1,2,1,A,B,5,A,B,507.28000000000003
PI,17,M,1,2,1,D,A,5,A,A,386.12
PI,15,F,1,2,2,B,B,4,C,B,606.96
PI,17,F,1,2,1,A,B,7,C,B,674.54
PI,20,F,1,2,2,B,B,3,C,B,438.21999999999997
PI,17,M,1,1,1,A,A,7,B,B,446.5
PI,17,M,1,2,1,A,C,5,B,A,488.4
PI,54,F,2,2,1,A,A,1,A,A,373.03999999999996
PI,19,F,1,2,1,A,A,6,A,B,494.52
PI,18,M,1,2,1,A,A,4,A,B,467.96000000000004
PI,17,F,1,2,1,C,A,5,D,B,718.86
PI,17,M,1,1,1,A,C,4,B,A,506.8
PI,17,F,1,2,2,A,B,5,C,B,672.86
PI,18,M,1,2,1,A,C,4,B,A,548.7
PI,17,M,1,2,1,A,A,4,A,A,491.5799999999999
PI,17,M,1,1,1,B,A,3,B,A,563.8
PI,18,F,1,2,1,D,B,7,B,B,455.28000000000003
PI,20,M,1,2,1,A,A,4,A,B,465.82000000000005
PI,19,M,1,1,1,A,A,7,A,A,484.73999999999995
PI,19,M,1,2,1,A,A,5,A,A,381.36
PI,20,F,1,2,1,A,B,4,B,B,406.14
PI,16,F,1,1,1,A,B,4,A,A,462.8
PI,18,M,1,2,1,A,B,1,C,B,513.14
PI,18,M,1,2,1,A,A,4,A,A,509.5
PI,19,F,1,2,1,A,A,5,A,A,475.86
PI,17,F,1,2,1,A,B,10,B,A,424.21999999999997
PI,22,F,1,2,1,A,A,6,B,A,399.42
PI,27,F,1,1,1,A,A,2,A,A,452.62000000000006
PI,19,M,1,2,1,A,A,5,B,A,420.02
PI,18,F,1,2,1,D,A,4,B,A,516.6200000000001
PI,17,F,1,1,1,B,A,3,A,B,521.94
PI,17,M,1,1,1,A,A,5,A,A,602.86
