SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
PR,17,M,1,2,1,B,A,4,C,B,538.76
PR,17,F,1,1,1,B,A,5,C,B,430.03999999999996
PR,17,M,1,1,1,A,A,3,C,B,552.98
PR,18,F,1,1,1,B,B,2,B,B,476.02
PR,17,M,1,2,1,D,C,4,C,B,535.9
PR,17,F,1,1,1,A,C,3,C,B,454.66
PR,18,F,1,2,1,C,A,3,B,B,539.02
PR,18,M,1,2,1,A,A,3,B,B,546.22
PR,17,F,1,1,1,A,B,4,B,B,500.5
PR,20,M,1,2,1,B,B,4,B,B,462.64
PR,18,F,1,1,1,A,A,5,C,B,409.88
PR,18,M,1,1,1,A,A,4,B,B,617.3199999999999
PR,17,F,1,1,1,A,A,3,A,B,462.1
PR,18,F,1,1,1,B,A,3,B,B,486.96000000000004
PR,18,M,1,2,1,A,A,5,B,B,557.06
PR,17,M,1,1,1,A,A,3,A,B,575.54
PR,17,M,1,1,1,A,C,4,B,B,507.86
PR,17,F,1,1,1,C,B,3,C,A,517.08
PR,17,M,1,1,2,C,B,4,D,B,664.6
PR,17,F,1,1,1,B,B,5,B,B,597.3199999999999
PR,17,M,1,1,2,B,C,4,D,B,648.02
PR,19,F,1,1,1,B,C,2,B,B,561.92
PR,17,F,1,2,1,B,A,5,C,B,428.03999999999996
PR,19,M,1,2,1,A,B,3,B,B,567.1800000000001
PR,18,F,1,2,1,D,A,3,B,B,521.1
PR,17,M,2,1,1,A,A,5,B,B,537.5
PR,18,F,1,2,1,D,D,3,A,B,431.9
PR,17,F,1,1,1,A,A,3,B,B,536.1600000000001
PR,17,M,1,1,2,B,B,4,D,B,656.2
PR,18,M,1,2,1,D,B,3,D,B,529.72
PR,19,M,1,2,1,A,A,4,C,B,573.6
PR,17,M,1,1,2,C,C,4,D,B,640.3
PR,17,F,1,2,1,A,B,3,C,B,444.46000000000004
PR,17,F,1,2,1,B,B,5,B,B,508.1
PR,17,M,1,1,1,A,C,5,B,B,398.38
PR,17,F,1,2,1,D,A,3,A,B,459.12000000000006
PR,17,F,1,1,1,D,C,5,D,B,401.15999999999997
PR,17,M,1,1,2,C,C,4,C,B,651
PR,17,F,1,1,1,C,C,4,D,B,526.24
PR,17,F,1,2,1,A,B,3,B,B,457.21999999999997
PR,18,F,1,2,1,A,A,4,C,B,487.76000000000005
PR,18,M,1,1,1,C,B,6,D,B,675.4
PR,17,F,1,1,1,A,C,4,B,B,572.14
PR,17,F,1,1,1,A,B,5,C,B,649.24
PR,17,F,1,1,1,A,A,5,B,A,537.18
PR,18,F,1,2,1,B,B,2,B,B,448.7799999999999
PR,18,F,1,1,1,A,B,4,B,B,475.84
PR,21,M,1,1,1,D,A,3,A,B,478.43999999999994
PR,18,F,1,1,1,C,B,4,A,B,569.92
PR,17,F,1,1,1,B,B,4,C,B,536.72
PR,17,M,1,2,1,A,A,4,B,B,513.88
PR,18,M,1,2,1,B,B,5,B,B,534.76
PR,17,M,1,2,1,B,B,3,B,A,598.1
