SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
RJ,17,M,1,1,2,C,B,4,D,B,680.02
RJ,17,F,1,2,1,A,D,2,B,B,456.46000000000004
RJ,17,F,1,2,1,A,C,4,B,B,509.7799999999999
RJ,17,M,1,1,1,B,B,4,D,B,551.08
RJ,17,M,1,1,1,A,A,4,A,B,466.06000000000006
RJ,18,M,1,1,2,B,C,3,D,B,676.5
RJ,19,F,1,2,1,B,B,4,B,A,485.93999999999994
RJ,17,F,1,1,1,B,B,3,C,B,442.86
RJ,18,M,1,1,1,C,C,5,D,B,716.3199999999999
RJ,18,F,1,1,2,B,C,5,D,B,545.8199999999999
RJ,17,F,1,2,1,D,B,4,B,B,498.88
RJ,18,F,1,2,1,A,B,4,B,A,387.26000000000005
RJ,18,F,1,2,1,B,B,3,B,B,502.43999999999994
RJ,21,M,1,2,1,B,A,4,B,B,444.84
RJ,18,F,1,2,2,B,B,4,C,B,592.14
RJ,19,F,1,2,1,A,A,5,B,B,376.28000000000003
RJ,17,F,1,2,1,B,B,5,B,B,515.28
RJ,17,F,1,2,1,C,A,3,C,B,542.78
RJ,17,F,1,2,1,A,A,4,A,B,623
RJ,17,F,1,1,1,B,A,3,B,B,592.02
RJ,18,M,1,2,1,A,A,4,B,B,506.12000000000006
RJ,18,F,1,1,2,A,C,4,D,B,690.42
RJ,18,F,1,2,1,A,B,4,B,A,574.7
RJ,18,M,1,2,1,D,D,3,C,B,504.78000000000003
RJ,18,M,1,1,2,C,C,4,D,B,664.8599999999999
RJ,18,F,1,2,1,A,A,5,B,B,326.18
RJ,17,F,1,1,1,A,A,5,A,B,523.88
RJ,18,M,1,2,2,B,B,4,D,B,657.54
RJ,18,F,1,2,1,B,C,3,B,B,496.5
RJ,18,M,1,2,1,B,B,4,C,B,409.21999999999997
RJ,20,F,1,1,2,B,B,4,C,B,540.92
RJ,30,M,2,2,1,A,A,6,B,A,473.32000000000005
RJ,20,M,1,2,1,B,A,2,B,B,504.91999999999996
RJ,17,M,1,2,2,B,B,4,C,B,524.14
RJ,18,M,1,1,2,C,C,3,D,B,735.72
RJ,17,M,1,1,2,B,C,3,D,B,450.52
RJ,18,M,1,1,1,A,B,3,B,B,432.64
RJ,18,M,1,2,2,A,C,4,D,B,476.14
RJ,18,M,1,2,1,A,A,2,A,A,494.66
RJ,18,F,1,1,1,A,A,7,B,A,363.88
RJ,18,M,1,1,1,B,B,5,C,B,533.2
RJ,17,F,1,2,1,B,B,4,C,B,520.24
RJ,17,F,1,1,1,B,C,2,B,B,454.18
RJ,17,F,1,1,2,B,C,4,D,B,725.22
RJ,19,F,1,2,2,A,A,3,A,A,658.1600000000001
RJ,18,F,1,1,2,C,B,4,C,B,497.2
RJ,17,F,1,2,2,B,C,3,B,B,662.54
RJ,18,F,1,2,2,B,C,3,C,B,545.1
RJ,17,F,1,2,1,D,A,6,B,A,532.64
RJ,20,F,1,1,1,A,B,3,D,B,571.38
RJ,17,F,1,2,2,A,C,3,A,B,624.36
RJ,17,F,1,2,1,D,A,3,B,B,446.6
RJ,17,M,1,2,2,C,C,5,C,B,526.72
RJ,17,M,1,2,1,C,B,4,B,B,587.8599999999999
RJ,18,F,1,2,1,A,A,6,C,B,479.16
RJ,17,F,1,1,1,A,A,3,A,B,514.86
RJ,18,F,1,2,1,A,B,4,B,B,495.52
RJ,19,F,1,2,1,A,B,4,B,B,315.02
RJ,16,F,1,1,2,B,B,4,D,B,610.4799999999999
RJ,17,F,1,2,1,A,A,6,A,B,419.88
RJ,18,F,1,2,1,B,A,4,C,B,434.02
RJ,18,F,1,1,2,B,B,2,D,B,640.5799999999999
RJ,18,F,1,2,1,B,A,4,B,B,523.48
RJ,31,F,1,2,1,A,A,4,A,A,479.17999999999995
RJ,19,F,1,1,1,A,A,5,A,B,477.4200000000001
RJ,17,M,1,1,2,C,A,4,D,B,579.98
RJ,18,F,1,2,2,C,B,5,C,B,583.12
RJ,17,M,1,2,1,B,C,4,C,B,600.74
RJ,20,F,1,2,1,D,D,4,A,B,362.23999999999995
RJ,17,M,1,2,1,A,A,3,B,B,428.1
RJ,18,M,1,1,1,B,B,3,C,B,571.3599999999999
RJ,17,F,1,1,1,B,B,2,A,B,451.7
RJ,17,F,1,2,2,A,A,3,D,B,668.62
RJ,18,F,1,1,2,C,C,4,D,B,636.02
RJ,19,F,1,2,1,B,B,4,B,B,467.82000000000005
RJ,18,M,1,2,1,C,C,3,D,B,731.88
RJ,18,M,1,1,2,B,A,3,C,B,608.3399999999999
RJ,18,M,1,1,2,B,B,4,D,B,650.72
RJ,17,F,1,2,2,C,C,3,C,B,517.08
RJ,17,F,1,2,1,B,B,4,B,A,488.4799999999999
RJ,19,F,1,2,1,A,C,3,C,B,531.14
RJ,18,F,1,1,1,A,A,3,A,B,425.9200000000001
RJ,18,F,1,2,1,A,A,5,A,A,517.14
RJ,18,M,1,2,1,B,B,4,A,B,444.32000000000005
RJ,19,F,1,2,1,D,A,4,A,B,465.58000000000004
RJ,17,F,1,2,1,B,B,5,C,B,499.08000000000004
RJ,17,F,1,1,1,B,C,4,D,B,442.58000000000004
RJ,19,M,1,1,1,D,A,6,B,B,455.44000000000005
RJ,18,F,1,1,2,B,B,4,C,B,532.1200000000001
RJ,17,M,1,2,2,C,C,3,D,B,772.1600000000001
RJ,17,F,1,1,2,B,B,4,D,B,641.7
RJ,35,F,1,2,1,A,A,2,B,A,528.04
RJ,18,M,2,2,1,A,B,3,B,B,553.6800000000001
RJ,24,M,1,2,1,B,A,4,D,B,589.3399999999999
RJ,18,M,1,1,1,B,B,6,B,B,578.24
RJ,19,M,1,2,1,A,A,2,A,B,541.5600000000001
RJ,17,M,1,2,2,C,A,4,D,B,511.32
RJ,17,M,1,2,1,A,C,4,B,B,557.4
RJ,17,F,1,1,2,C,C,2,D,B,702.36
RJ,17,F,1,1,2,B,B,6,D,B,683.8
RJ,17,F,1,2,1,B,A,4,B,B,520.3199999999999
RJ,22,M,1,2,1,D,A,6,B,B,315.12
RJ,17,F,1,1,2,C,C,4,D,B,601.8
RJ,17,M,1,1,1,C,B,5,A,B,549.22
RJ,17,F,1,1,2,B,B,4,D,B,658.36
RJ,18,M,1,1,1,C,C,3,D,B,663.1
RJ,18,M,1,2,1,A,B,5,C,B,512.3
RJ,19,M,1,1,1,D,B,4,B,B,420.94000000000005
