SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
RN,17,F,1,2,1,A,A,5,A,B,458.35999999999996
RN,18,M,1,2,1,A,B,4,B,B,568.3
RN,18,F,1,1,1,A,A,2,A,A,582.5799999999999
RN,18,F,1,2,1,D,A,3,A,B,486.84
RN,18,F,1,2,1,B,B,6,C,B,311.36
RN,18,F,1,2,1,A,A,5,A,A,451.9
RN,21,M,1,2,1,A,B,4,A,B,446.4
RN,18,F,1,2,1,B,A,3,B,B,534.66
RN,19,F,1,2,1,B,A,4,A,B,428.12
RN,20,F,1,1,1,A,A,4,B,B,397.28000000000003
RN,19,F,1,1,1,A,A,4,B,B,507.5200000000001
RN,19,M,1,1,1,B,A,5,C,B,502.16
RN,17,F,1,1,2,A,D,7,B,B,647.24
RN,17,M,1,1,1,B,C,3,B,B,651.8
RN,17,F,1,2,1,D,A,4,C,B,527.28
RN,17,F,1,1,2,B,C,4,D,B,502.82
RN,18,F,1,2,1,B,C,6,C,B,648.04
RN,18,F,1,2,1,D,A,5,B,B,571.3
RN,18,F,1,2,1,A,A,9,A,A,473
RN,18,F,1,2,1,B,B,4,B,A,478.6
RN,18,M,1,2,1,A,A,2,A,B,522.96
RN,20,M,1,1,1,A,A,3,A,A,527.62
RN,17,F,1,2,1,A,A,3,C,B,442.58000000000004
RN,18,F,1,1,2,C,C,3,D,B,660.38
RN,19,M,1,2,1,A,A,4,B,B,522.5
RN,20,M,1,1,1,B,C,2,C,B,714.8799999999999
RN,18,F,1,1,1,A,B,4,A,B,565.18
RN,21,M,1,2,1,A,A,4,A,A,519.26
RN,18,M,1,2,1,A,A,3,A,B,481.53999999999996
RN,18,M,1,1,1,B,A,4,B,B,608.38
RN,18,M,1,1,1,B,B,4,B,B,500.5799999999999
RN,18,M,1,1,1,A,B,2,A,A,422.34
RN,18,M,1,2,1,D,B,5,B,B,598.24
RN,19,M,1,2,1,A,A,6,A,A,599.26
RN,18,F,1,1,1,B,B,3,A,B,585.58
RN,17,F,1,2,1,A,A,4,B,B,489.58000000000004
RN,17,F,1,2,1,A,A,4,A,A,373.06000000000006
RN,17,F,1,2,1,B,B,3,A,B,534.98
RN,17,F,1,2,2,B,A,4,D,B,542
RN,19,M,1,1,1,A,A,3,A,A,447.9200000000001
RN,17,F,1,2,1,A,B,4,B,B,656.94
RN,19,F,1,1,1,B,C,4,C,B,660.9200000000001
RN,17,F,1,2,1,D,B,3,A,A,534.68
RN,17,M,1,2,2,C,B,4,D,B,521.42
RN,17,M,1,1,1,C,C,6,B,B,606.9
RN,17,M,1,2,1,D,B,5,C,B,456.76000000000005
RN,17,F,1,1,1,B,A,5,A,B,518.96
RN,18,M,1,1,1,A,A,4,B,A,650
RN,18,M,1,1,1,B,C,4,C,B,473.4200000000001
RN,18,M,1,1,1,C,C,5,C,B,538.18
RN,18,F,1,1,1,B,C,3,C,A,620.5800000000002
RN,18,F,1,2,1,A,A,9,B,B,427.73999999999995
RN,18,F,1,1,1,A,A,3,B,B,691.82
RN,18,M,1,1,1,A,A,6,A,A,529.6200000000001
RN,19,M,1,2,1,A,B,3,A,B,452.93999999999994
RN,18,F,1,1,1,A,C,6,C,B,624.8799999999999
RN,21,M,1,2,1,A,A,2,A,B,522
RN,20,F,1,1,1,A,A,3,A,A,444.2
RN,17,F,1,1,1,B,B,5,D,B,646.26
RN,18,F,1,1,1,A,A,5,A,A,594.3199999999999
RN,19,F,1,2,1,A,B,3,A,B,500.88
RN,17,F,1,1,1,A,B,2,A,B,598.4
RN,17,F,1,1,1,C,A,6,A,B,540.08
RN,18,M,1,2,1,C,C,3,C,B,674.6400000000001
RN,18,M,1,2,1,B,B,4,A,A,393.04
RN,18,F,1,1,1,A,A,4,B,B,512.02
RN,18,M,1,2,1,A,A,5,A,B,613.14
RN,22,M,1,2,1,A,A,8,A,A,420.0799999999999
RN,17,F,1,2,2,C,C,5,C,B,658.6800000000001
RN,18,F,1,2,1,B,A,4,B,A,517.74
RN,19,M,1,1,1,A,B,4,A,B,306.58000000000004
RN,17,M,1,2,2,B,C,4,C,A,551.3399999999999
RN,19,F,2,2,1,B,A,2,A,B,480.34000000000003
RN,18,M,1,1,1,B,B,4,B,B,600.64
RN,17,F,1,1,1,B,A,3,B,B,490.06000000000006
RN,19,F,1,2,1,B,A,4,A,B,570.9399999999999
RN,18,F,1,2,1,B,A,5,B,A,482.41999999999996
RN,18,M,1,2,2,A,B,4,C,B,579.5600000000001
RN,17,F,1,1,2,B,C,4,C,B,579.66
RN,18,M,1,1,2,B,B,4,C,B,640.26
RN,19,F,1,2,1,A,B,5,A,B,500.34
RN,18,F,1,2,1,A,A,4,B,B,482.68
RN,19,M,1,2,1,A,A,3,A,A,461.4
RN,17,F,1,2,2,A,A,5,B,B,479.4599999999999
RN,17,M,1,2,1,A,B,5,C,B,578.3
RN,18,F,1,1,1,B,B,5,C,B,687.5
RN,17,F,1,2,1,A,A,2,A,A,509.41999999999996
RN,18,F,1,2,1,A,B,4,A,A,379.88
RN,18,M,1,1,2,B,C,5,C,B,595.28
RN,17,M,1,2,1,A,A,2,A,A,591.6600000000001
RN,18,M,1,2,1,A,A,3,A,A,452.68
RN,19,F,1,1,1,C,B,2,A,B,582.32
RN,17,F,1,1,2,A,B,4,B,B,650.26
RN,19,F,1,2,1,A,A,5,A,A,416.32
RN,18,M,1,1,1,A,A,4,A,A,593.98
RN,18,F,1,1,1,A,A,5,B,B,507.62000000000006
RN,17,F,1,2,1,A,A,4,C,B,602.4599999999999
RN,17,F,1,2,1,A,A,4,A,B,599.8799999999999
RN,19,F,1,2,1,A,A,4,B,B,492.14
RN,22,M,1,2,1,B,A,4,B,A,385
RN,18,F,1,1,1,B,B,4,A,B,619.08
RN,18,F,1,2,1,A,B,3,A,B,619.42
RN,17,M,1,1,1,A,A,4,B,B,507.93999999999994
RN,17,M,1,2,1,A,A,5,B,B,519.04
RN,18,M,1,1,1,A,A,4,B,B,526.78
RN,18,F,1,2,1,A,A,2,A,A,473.15999999999997
RN,18,M,1,2,1,A,B,3,B,B,473.52
RN,19,M,1,2,1,D,A,3,A,A,389.8
RN,20,F,1,2,1,A,A,1,A,A,429.32
RN,18,F,1,2,2,B,B,4,B,B,448.36
RN,18,M,1,2,1,C,B,5,B,B,600.74
RN,17,F,1,2,2,A,C,3,A,B,602.86
RN,18,F,1,1,1,A,B,2,B,B,491.71999999999997
RN,19,F,1,2,1,A,A,6,D,B,539.76
RN,18,M,1,2,1,B,C,4,C,B,503.43999999999994
RN,18,F,1,1,1,A,B,4,A,B,576.9
RN,18,F,1,1,2,A,B,4,B,B,583.2
RN,21,M,1,2,1,A,A,5,A,B,379.2
RN,18,F,1,1,1,D,B,4,A,A,444.41999999999996
RN,18,M,1,1,1,A,A,4,B,A,442.68
RN,18,F,1,1,2,C,A,3,B,B,665.12
RN,18,F,1,1,1,A,B,4,B,B,459.56000000000006
RN,17,M,1,2,1,C,C,5,D,B,567.1800000000001
RN,18,M,1,1,1,A,B,4,C,B,608.76
RN,18,M,1,2,1,D,A,4,A,B,501.46000000000004
RN,18,F,1,2,1,A,A,6,A,B,477.9
RN,18,F,1,2,1,A,A,4,A,B,502.73999999999995
RN,18,F,1,2,1,A,A,3,A,B,533.84
RN,18,F,1,1,1,A,A,4,A,B,622.52
RN,17,M,1,1,1,A,B,4,B,B,513.8
RN,18,M,1,1,2,A,B,4,B,B,636.9
RN,17,M,1,1,1,A,B,4,A,B,535.1200000000001
RN,18,F,1,2,1,A,A,5,A,B,474.53999999999996
RN,19,F,1,2,1,A,C,5,C,B,546.72
RN,18,F,1,1,1,A,A,3,A,B,515.9799999999999
RN,18,F,1,2,1,A,B,3,A,B,548.8399999999999
RN,17,F,1,2,2,C,C,3,D,B,730.5
RN,17,M,1,1,1,A,B,5,B,B,458.56000000000006
RN,18,F,1,2,2,B,C,4,D,A,616.74
RN,18,F,1,2,2,B,B,3,A,B,538.9
RN,17,M,1,2,1,A,A,5,A,B,532.12
RN,17,F,1,2,1,B,B,4,C,B,472.9799999999999
RN,18,M,1,2,1,D,A,5,A,A,529.4399999999999
RN,17,F,1,1,2,C,C,5,D,B,707.6
RN,18,M,1,1,1,A,B,5,A,B,568.0200000000001
RN,16,F,1,1,2,C,C,4,A,B,493.64
RN,18,F,1,1,1,A,B,6,B,A,572.6
RN,17,F,1,2,2,B,B,4,C,B,509.38
RN,17,F,1,2,1,A,A,6,A,B,468.48
RN,17,F,1,2,2,A,A,5,A,B,472.03999999999996
RN,17,M,1,1,2,C,C,3,C,B,550.8
RN,16,F,1,2,1,B,B,4,C,B,465.93999999999994
RN,18,F,1,1,1,B,B,4,B,A,527.76
RN,19,M,1,1,1,C,C,4,D,B,429.6
RN,18,M,1,2,1,A,B,5,A,A,472.87999999999994
RN,18,F,1,1,1,C,B,3,B,B,484.6
RN,20,F,1,2,1,B,B,5,A,B,446.17999999999995
RN,17,F,1,2,1,A,B,7,A,A,474.12
RN,17,F,1,1,1,C,C,3,C,B,600.86
RN,17,M,1,1,2,C,B,4,C,B,668.88
RN,17,M,1,2,1,A,A,4,B,B,461.53999999999996
RN,21,M,1,2,1,A,B,2,B,B,521.1800000000001
RN,18,M,1,2,1,D,B,4,C,B,516.24
