SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
RO,19,F,1,2,1,A,B,6,A,A,364.62
RO,18,M,1,1,1,C,B,3,B,B,492.53999999999996
RO,17,F,1,1,1,B,B,4,C,B,511.73999999999995
RO,17,F,1,2,1,A,C,3,C,B,397.21999999999997
RO,18,F,1,2,1,A,A,7,C,B,420.06000000000006
RO,18,F,1,2,1,A,A,3,C,B,611.3199999999999
RO,18,M,1,2,1,A,A,5,A,B,531.3
RO,18,F,1,1,1,B,C,4,A,B,529.32
RO,17,M,1,2,1,C,C,4,C,B,560.78
RO,18,F,1,1,2,C,C,2,C,B,454.16
RO,17,F,1,2,1,A,C,4,D,B,458.62
RO,18,F,1,1,1,A,C,3,C,B,496.71999999999997
RO,17,M,1,2,1,B,C,4,B,B,562.1
RO,20,F,1,2,1,A,C,2,B,A,361.26
RO,18,F,1,1,1,A,B,5,A,A,495.03999999999996
RO,18,M,1,2,1,A,A,4,A,B,473.23999999999995
RO,18,F,1,2,1,A,A,4,B,A,546.8399999999999
RO,18,F,1,2,1,A,A,5,C,B,401.38
RO,19,M,1,2,1,A,A,4,B,A,337.66
RO,18,F,1,1,1,A,A,4,B,B,499.9200000000001
RO,18,M,1,2,1,A,A,6,C,A,523.6
RO,17,F,1,1,1,B,C,3,B,B,469.93999999999994
RO,19,F,1,2,1,B,B,3,B,A,466.88
RO,17,M,1,1,1,B,B,4,B,B,550.5600000000001
RO,18,F,1,1,1,B,A,5,B,A,403.3
RO,18,F,1,2,1,D,A,7,B,B,558.9599999999999
RO,18,F,1,2,1,D,B,4,B,B,520
RO,18,F,1,2,1,A,A,5,A,A,532.8399999999999
RO,17,F,1,2,1,A,A,4,B,B,484.4
RO,19,F,1,2,1,B,B,5,B,A,525.3399999999999
RO,18,M,1,1,1,B,B,4,C,A,488.86
RO,18,F,1,1,1,A,B,3,B,B,552.92
RO,17,F,1,2,1,B,A,4,A,A,437.5
RO,17,F,1,2,1,A,A,5,B,B,500.98
RO,17,F,1,2,1,B,C,2,A,B,419.06000000000006
RO,18,M,1,1,1,A,A,4,B,B,570.08
RO,18,M,1,2,1,D,B,3,C,B,573.8
RO,18,F,1,1,1,A,C,4,B,B,539.54
RO,18,F,1,2,1,C,B,1,A,B,510.78000000000003
RO,17,M,1,2,2,C,C,4,D,B,526.5
RO,18,F,1,2,1,A,C,4,D,B,599.7
RO,40,M,1,2,1,A,A,3,A,A,354.06
RO,18,F,1,1,2,B,A,4,D,B,559.92
RO,17,F,1,1,1,A,A,3,B,B,476.21999999999997
RO,18,M,1,1,1,A,A,4,B,B,462.93999999999994
RO,17,M,1,2,1,A,A,4,A,A,469.38
RO,17,M,1,2,1,D,A,5,C,A,577.5799999999999
RO,17,F,1,2,1,B,A,3,B,B,522.4
RO,17,F,1,2,1,D,B,2,B,B,454.86
RO,19,F,1,2,1,A,B,7,A,B,425.41999999999996
RO,17,F,1,1,1,A,B,3,A,B,491.91999999999996
RO,18,F,1,1,1,B,B,3,D,B,405.56000000000006
RO,21,F,2,2,1,B,C,1,A,A,474.7200000000001
RO,18,F,1,1,1,A,B,3,B,B,519.64
RO,25,F,1,2,1,A,A,1,A,A,316.38
RO,18,M,1,2,1,B,A,4,C,B,440.16
RO,18,F,1,1,1,B,B,3,A,B,507.02
RO,17,F,1,2,1,B,C,5,C,B,496.2200000000001
RO,18,M,1,2,1,A,B,4,B,B,602.48
RO,18,F,1,2,1,B,C,3,C,B,572.9
RO,17,F,1,2,1,A,C,5,C,B,596.2
RO,20,M,1,2,1,B,A,3,C,B,517.36
RO,18,M,1,2,2,A,C,4,C,B,655.88
RO,19,F,1,1,1,D,A,3,B,B,409.04
RO,19,M,1,2,1,A,C,5,C,B,485.82
RO,17,F,1,1,2,B,B,4,C,B,629.24
RO,20,F,1,2,1,D,B,2,A,B,419.91999999999996
RO,18,F,1,2,1,A,B,5,A,A,394.04
RO,21,M,1,2,1,A,A,5,C,A,505.36
RO,18,F,1,1,1,C,A,3,B,B,425.3
RO,19,M,1,2,1,A,A,1,A,B,478.67999999999995
RO,19,M,1,2,1,A,A,5,A,A,481.32000000000005
RO,18,M,1,1,1,A,A,4,B,B,497.91999999999996
RO,19,F,1,1,1,B,B,3,C,B,459.43999999999994
RO,17,F,1,1,1,A,B,4,D,B,547.54
RO,17,M,2,2,1,A,C,4,B,B,421.41999999999996
RO,18,M,1,2,1,A,A,4,C,B,448.82000000000005
RO,17,F,1,2,1,B,C,3,C,B,589.04
RO,16,M,1,1,1,A,C,3,D,B,594.6400000000001
RO,19,F,1,2,1,A,B,5,C,B,505
RO,18,M,1,1,1,A,A,3,A,B,596.74
RO,19,F,1,2,1,A,A,6,A,B,434.8
RO,18,F,1,1,1,D,D,4,C,A,530.78
RO,18,F,1,2,1,A,A,4,B,A,660.9399999999999
RO,18,F,1,1,1,A,A,4,B,B,408.4
RO,17,F,1,1,1,B,C,4,C,B,482.58000000000004
RO,17,M,1,1,1,B,A,4,B,B,513.4200000000001
RO,25,M,1,2,1,A,A,3,A,A,470.5
RO,17,M,1,1,1,B,C,4,C,B,598.62
RO,19,F,1,2,1,B,B,4,B,B,478.73999999999995
RO,48,M,1,1,1,A,A,1,B,B,494.78000000000003
RO,17,F,1,2,1,A,C,3,D,B,593.98
RO,17,F,1,1,1,A,A,4,B,B,483.91999999999996
RO,18,M,1,2,1,A,A,7,C,B,411.58000000000004
RO,18,M,1,2,1,A,A,4,B,B,516.86
RO,19,M,1,2,1,B,B,6,C,B,475.5
RO,19,F,1,1,1,A,B,8,B,B,416.86
RO,18,F,1,1,1,A,A,5,B,B,391.7
RO,17,F,1,1,1,C,B,4,C,B,616.64
RO,17,F,1,2,1,A,A,4,D,B,502.74000000000007
RO,25,F,1,2,1,D,D,3,A,A,420.32
RO,18,M,1,2,1,B,B,3,B,A,670.4
RO,17,F,1,2,1,B,B,3,B,B,560.22
RO,18,F,1,1,1,B,A,5,B,B,465.43999999999994
RO,18,F,1,2,1,A,A,3,A,B,548.16
RO,17,M,1,1,1,D,B,4,A,A,564.5
RO,18,F,1,2,1,B,B,3,B,B,498.2799999999999
RO,19,M,1,1,1,B,C,4,B,B,523.5
RO,17,F,1,2,1,B,A,4,C,A,629.1800000000001
RO,18,M,1,2,1,A,A,5,A,A,392.06000000000006
RO,18,F,1,2,1,B,B,3,D,B,454.84
RO,18,F,1,2,1,A,A,3,B,A,479.9599999999999
RO,18,M,1,2,1,B,B,5,B,A,464.66
RO,17,F,1,2,1,B,B,5,B,B,576.1600000000001
RO,18,M,1,1,1,A,A,2,A,B,473.8
RO,18,F,1,2,1,A,A,5,C,B,550.46
RO,17,F,1,1,1,B,B,4,C,B,599.3
RO,18,M,1,1,1,B,C,4,D,B,583.62
RO,26,F,1,2,1,A,B,6,C,B,530.1400000000001
RO,19,M,1,2,1,B,C,4,C,B,574.22
RO,19,M,1,2,1,A,A,5,C,B,438.56000000000006
RO,18,F,1,2,1,A,A,3,B,B,531.36
RO,19,M,1,2,1,A,A,3,B,A,346.34
RO,18,M,1,2,1,B,C,4,D,A,458
RO,18,F,1,2,1,C,D,9,D,A,603.42
RO,18,F,1,2,1,A,A,5,C,B,528.88
RO,17,F,1,2,2,A,A,6,A,B,328.48
RO,18,F,1,1,1,D,B,2,B,B,473.7
RO,17,M,1,2,1,A,B,6,B,B,546.08
RO,18,F,1,2,1,A,A,5,B,B,502.41999999999996
RO,18,F,1,2,1,B,A,2,A,B,498.76000000000005
RO,18,M,1,2,1,A,A,3,C,B,553.2
RO,18,F,1,2,1,A,A,4,B,A,570.4399999999999
RO,17,F,1,2,1,A,A,2,A,A,463.16
RO,18,F,1,2,1,D,B,4,B,B,492.06000000000006
RO,17,M,1,1,1,A,C,4,C,B,399.23999999999995
RO,17,M,1,2,1,C,B,2,C,B,605.54
RO,18,F,1,2,1,A,A,5,A,B,459.3
RO,18,F,1,2,1,B,B,3,C,B,477.96000000000004
RO,17,M,1,2,1,B,B,4,B,B,498
RO,17,M,1,1,1,A,A,4,B,A,491.03999999999996
RO,18,F,1,2,1,A,A,4,A,A,510.1
RO,18,F,1,2,1,A,A,4,B,B,519.16
RO,16,M,1,2,1,B,A,4,D,B,623.0200000000001
RO,18,F,1,2,1,A,A,6,C,B,400.56000000000006
RO,18,M,1,1,1,B,B,9,C,B,566.3
RO,19,F,1,1,1,B,C,3,C,B,537.4
RO,18,F,1,2,1,A,A,5,C,B,482.6
RO,20,F,1,2,1,B,A,6,B,B,485.18
RO,17,F,1,2,1,B,C,2,B,A,498.9200000000001
RO,18,M,1,2,1,A,B,5,A,A,416.5
RO,22,F,1,2,1,A,A,6,B,A,343.71999999999997
RO,19,M,1,2,1,A,C,7,A,B,555.8199999999999
RO,21,M,1,2,1,B,C,3,B,B,547.26
RO,18,M,1,2,1,B,A,3,B,B,562.28
RO,19,F,1,1,1,A,B,4,A,B,475.46000000000004
RO,18,F,1,2,1,B,C,3,D,B,526.4200000000001
RO,18,M,1,2,1,D,B,2,B,B,564.26
RO,18,M,1,2,1,A,B,5,C,B,504.88
RO,18,F,1,1,1,A,A,5,A,A,463.17999999999995
RO,18,F,1,2,1,A,A,3,B,B,587.66
RO,18,M,1,1,1,D,D,4,C,B,552.1
RO,18,F,1,2,1,B,B,4,C,B,487.93999999999994
RO,18,F,1,2,1,A,C,5,B,B,563.38
RO,17,F,1,2,1,A,B,5,C,A,497.7
RO,19,F,1,2,1,A,A,5,A,A,452.37999999999994
RO,19,F,1,2,1,A,A,3,A,A,548.0600000000001
RO,18,F,1,2,1,A,B,4,A,A,486.93999999999994
RO,18,M,1,2,1,C,C,4,D,B,521.96
RO,18,F,1,2,1,A,A,4,B,A,450.16
RO,18,M,1,1,1,A,A,5,B,A,545.24
RO,18,F,1,1,1,C,C,3,C,B,605.72
RO,18,F,1,2,1,B,B,4,A,A,494.16
RO,18,F,1,1,1,A,B,4,A,B,514
RO,18,F,1,2,1,C,C,5,D,B,525.36
RO,17,F,1,1,2,C,C,5,C,B,595.84
RO,18,M,1,2,1,A,C,3,D,B,449.8
RO,44,F,2,1,1,A,A,4,B,B,312
RO,18,M,1,2,1,B,B,4,B,A,461.68
RO,18,F,1,2,1,B,B,5,B,B,546.9399999999999
RO,20,M,1,2,1,A,B,3,B,A,434.6
RO,19,F,1,2,1,D,A,8,A,A,460.7
RO,17,M,2,2,1,A,B,4,B,B,456.84
RO,18,M,1,2,1,A,B,5,C,B,658.92
RO,17,M,1,1,1,A,A,4,A,B,447.24000000000007
RO,18,F,1,1,1,A,A,3,C,B,513.4399999999999
RO,18,M,1,2,1,C,C,5,C,B,659.96
RO,19,F,1,2,1,A,C,6,C,A,569.6600000000001
RO,18,F,1,1,1,B,A,4,B,B,484.98
RO,17,M,1,1,1,B,C,3,C,A,521.08
RO,17,M,1,1,1,A,A,5,B,A,627.38
RO,17,F,1,1,1,C,C,3,D,B,488.26000000000005
RO,17,F,1,2,1,A,A,5,B,B,505.26000000000005
RO,17,M,1,2,1,A,A,4,D,B,565.1800000000001
RO,18,M,1,1,1,A,B,3,B,B,495.32
RO,18,F,1,1,1,D,B,5,C,B,577.4800000000001
RO,18,M,1,2,1,B,A,6,C,B,467.17999999999995
RO,18,M,1,2,1,A,B,3,B,B,572.24
RO,17,M,1,1,1,A,C,2,B,B,498.73999999999995
RO,17,F,1,2,1,A,A,4,C,B,610.74
RO,18,M,1,2,1,B,B,3,A,A,575.6800000000001
RO,17,F,1,2,1,C,A,7,D,B,672.98
RO,25,M,2,2,1,A,C,2,B,B,414.4
RO,17,M,1,1,1,A,C,5,B,B,677.74
RO,19,F,1,1,1,B,B,4,C,B,419.25999999999993
RO,17,F,1,2,1,C,C,4,C,B,481.18
RO,18,M,1,1,1,A,C,3,B,B,620.78
RO,20,M,1,2,1,B,B,4,B,B,460.86
RO,20,F,1,2,1,A,B,3,B,B,470.12
RO,33,M,2,2,1,A,A,4,B,B,352.72
RO,17,M,1,2,1,B,C,5,C,B,598.72
RO,18,F,1,2,1,A,A,5,A,B,459.91999999999996
RO,34,F,2,2,1,A,A,5,C,B,444.52
RO,18,F,1,1,1,B,B,5,B,B,463.41999999999996
RO,18,F,1,1,1,A,A,4,C,B,506.34
RO,18,F,1,2,1,D,A,4,B,B,458.68
RO,19,F,1,2,1,D,A,4,B,A,406.34
RO,34,F,1,2,1,A,A,3,A,A,445.7200000000001
RO,17,M,1,1,2,A,C,2,C,B,648.7199999999999
RO,20,M,1,2,1,C,C,4,C,B,490.93999999999994
RO,17,F,1,2,1,A,A,9,B,B,517.5
RO,17,F,1,2,1,B,C,4,B,B,418.91999999999996
RO,17,M,1,2,1,B,A,5,C,B,390.08
RO,18,F,1,2,1,A,B,3,A,A,484.03999999999996
RO,20,F,2,2,1,B,A,2,B,A,372.43999999999994
RO,18,F,1,2,2,B,C,4,C,B,615.2
