SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
RR,18,M,1,2,1,C,B,4,D,B,328.98
RR,18,F,1,2,1,A,A,4,A,A,551.24
RR,18,F,1,2,1,B,A,5,A,A,503.03999999999996
RR,18,M,1,2,1,A,A,4,A,A,460.3
RR,18,M,1,2,1,B,A,4,B,A,531
RR,17,M,1,2,1,B,C,3,C,B,519.8
RR,19,F,1,1,1,D,A,5,B,B,643.3199999999999
RR,18,F,1,2,1,B,B,4,C,A,359.62
RR,18,M,1,2,2,B,B,5,C,B,455.9
RR,17,F,1,2,1,B,B,3,B,B,430.84
RR,18,M,1,2,1,A,A,7,A,A,408.52000000000004
RR,18,M,1,1,2,C,C,4,B,B,360.56
RR,18,F,1,2,1,D,A,4,B,B,415.88
RR,18,F,1,2,1,A,A,5,B,A,307.4
RR,18,F,1,2,2,C,C,3,C,B,608.64
RR,17,M,1,1,1,C,B,5,D,B,619.0400000000001
RR,30,F,1,2,1,A,A,4,A,A,388.5
RR,17,M,1,1,1,D,C,3,B,B,515
RR,17,M,1,1,1,B,B,8,B,A,511.2
RR,18,F,1,2,1,A,B,5,A,B,410.12
RR,17,M,1,2,1,A,B,5,C,B,638.54
RR,18,F,1,2,1,D,C,3,B,A,447.3
RR,17,F,1,2,1,B,A,5,A,A,462.5
RR,19,M,1,1,1,B,B,6,B,A,426.64
RR,19,M,1,1,1,C,C,2,D,B,463.5
RR,18,M,1,1,1,C,B,2,B,A,661.1
RR,16,F,1,2,1,A,A,5,A,A,490.9
RR,18,F,1,2,1,A,B,3,C,A,417.76000000000005
RR,24,M,2,2,1,A,A,3,A,A,366.80000000000007
RR,17,F,1,2,1,B,B,4,B,B,509.46000000000004
RR,19,M,1,2,1,A,A,4,A,A,477.48
RR,17,F,1,2,1,A,B,6,A,A,546.8
RR,18,F,1,2,1,A,B,5,A,B,414.3
RR,17,F,1,2,1,B,A,9,A,A,461.68
RR,17,M,1,1,1,B,C,3,C,B,651.3199999999999
RR,18,F,1,2,1,A,B,5,A,A,518.4
RR,18,F,1,2,1,B,B,5,B,A,407.36
RR,18,F,1,1,1,B,B,3,B,B,563.1600000000001
RR,17,F,1,2,2,C,B,3,B,B,550.1
RR,17,M,1,2,1,A,B,4,C,B,510.9799999999999
RR,19,M,1,2,1,A,A,4,C,B,499.94000000000005
RR,18,F,1,1,1,A,C,3,D,B,478.9799999999999
RR,19,M,1,2,1,C,C,5,C,B,480.23999999999995
RR,18,F,1,2,1,A,B,6,B,B,505.4
RR,17,F,1,2,1,B,C,4,C,B,469.76000000000005
RR,18,M,1,2,1,A,C,5,D,B,621.8799999999999
RR,17,M,1,1,1,A,C,4,C,B,382.66
