SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
RS,18,M,1,1,2,C,C,4,D,B,384.84
RS,17,M,1,1,1,A,B,3,D,B,501.76000000000005
RS,18,M,1,1,2,B,C,4,D,B,725.9
RS,17,F,1,1,1,A,B,4,C,A,587.04
RS,18,F,1,1,1,A,B,3,B,B,499.28000000000003
RS,18,F,1,2,2,C,B,4,D,B,521.82
RS,18,F,1,1,1,A,A,3,B,B,424.96000000000004
RS,18,M,1,1,1,B,C,3,C,B,663.42
RS,18,M,1,1,1,A,A,2,B,B,537.3799999999999
RS,17,F,1,1,2,B,B,2,B,B,560.74
RS,18,F,1,1,1,B,A,3,A,B,489.06000000000006
RS,18,M,1,1,1,B,C,3,C,B,447.25999999999993
RS,20,M,1,1,1,A,A,6,B,B,466.76000000000005
RS,17,F,2,1,1,B,B,3,C,B,572.72
RS,17,F,1,1,1,B,B,2,C,A,513.36
RS,18,F,1,1,1,A,A,5,B,B,659.1600000000001
RS,18,F,1,1,1,A,A,3,A,B,535.6800000000001
RS,18,M,1,1,1,A,A,3,B,B,558.78
RS,17,F,1,1,1,A,A,5,C,B,461.2799999999999
RS,19,F,1,1,1,A,B,1,C,B,617.4200000000001
RS,20,M,1,1,1,A,A,4,C,B,595.2
RS,18,F,1,2,1,A,A,4,A,A,521.76
RS,20,M,1,1,1,B,B,3,C,B,518.78
RS,18,F,1,1,1,A,A,2,A,A,572.64
RS,17,F,1,1,1,B,A,4,A,A,409.38
RS,17,M,1,1,1,C,C,4,D,B,556.6
RS,18,M,1,1,1,A,B,4,C,B,618.02
RS,17,M,1,1,1,B,B,3,C,B,699.04
RS,18,M,1,1,1,A,A,4,C,B,605.76
RS,18,F,1,1,1,A,A,5,C,B,403.82000000000005
RS,17,M,1,1,1,A,B,5,C,B,631.3199999999999
RS,17,M,1,1,2,A,C,2,D,B,739.4399999999999
