SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
SC,17,M,1,1,1,A,A,3,C,B,494.12
SC,17,F,1,1,2,A,C,3,D,B,708.22
SC,17,M,1,2,1,A,A,3,D,B,470.6
SC,19,F,1,1,1,B,C,4,D,B,503.08000000000004
SC,18,F,1,2,1,A,A,5,B,B,398.12
SC,19,F,1,1,1,B,B,3,B,B,416.46000000000004
SC,17,F,1,2,1,A,B,5,C,B,518.8
SC,18,M,1,1,1,A,A,4,B,B,570.08
SC,17,F,1,1,1,C,C,6,B,B,451.26000000000005
SC,18,M,1,1,1,B,A,3,C,B,567.2
SC,17,F,1,2,1,A,A,7,D,B,621.98
SC,18,M,1,1,1,C,C,2,D,B,502.02
SC,17,F,1,1,1,B,C,5,C,B,656.6200000000001
SC,18,F,1,1,1,A,A,3,A,A,513.7
SC,17,F,1,1,2,B,C,4,D,B,707.26
SC,18,M,1,1,1,A,A,6,B,B,504.56000000000006
SC,18,F,1,2,1,A,A,5,A,A,407.74
SC,17,F,1,1,2,C,C,3,D,B,770.66
SC,19,F,1,1,1,C,C,3,D,B,602.1
SC,17,F,1,1,1,A,B,3,B,B,577.2
SC,18,F,1,1,1,B,A,5,B,A,528.68
SC,18,F,1,2,1,B,C,3,D,B,527.1
SC,17,F,1,1,1,A,A,4,B,B,470.03999999999996
SC,18,F,1,1,2,C,B,2,D,B,686.72
SC,17,F,1,1,2,C,C,4,D,B,610.8399999999999
SC,18,F,1,1,1,A,A,4,C,B,469.6
SC,18,F,1,1,1,A,A,3,C,B,512.5200000000001
SC,18,F,1,1,2,C,C,3,D,B,686.88
SC,18,F,1,2,1,D,A,6,C,B,417.8
SC,17,M,1,1,1,A,A,3,D,B,528.42
SC,18,F,1,2,1,A,B,4,C,B,574.6600000000001
SC,18,F,1,2,2,C,C,3,D,B,702.8
SC,17,M,1,1,1,A,A,2,B,B,472.37999999999994
SC,17,F,1,1,1,B,B,3,C,B,416.91999999999996
SC,17,M,1,1,1,C,C,4,C,B,504.76000000000005
SC,18,F,1,1,1,B,C,4,D,B,597.98
SC,18,M,2,1,1,A,B,5,C,B,551.8599999999999
SC,18,F,1,1,1,B,C,4,C,B,593.88
SC,17,M,1,1,1,A,A,4,C,B,555.66
