SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
SE,18,F,1,2,1,B,A,4,A,A,527.74
SE,18,M,1,2,1,C,C,3,B,B,596.36
SE,15,F,1,2,2,B,A,3,A,B,539.9
SE,19,F,1,2,1,D,D,12,A,B,509.62
SE,18,F,1,2,1,A,A,4,B,A,342.3
SE,17,F,1,2,2,B,C,4,D,B,686.4799999999999
SE,18,F,1,1,1,A,A,5,A,A,490.4
SE,18,M,1,2,1,B,B,4,A,B,469.43999999999994
SE,18,F,1,2,1,A,B,6,B,B,605.9200000000001
SE,16,M,1,2,1,A,A,3,A,A,528.8799999999999
SE,18,M,1,2,1,B,C,4,C,B,675.5
SE,17,F,1,1,1,A,B,3,A,B,598.32
SE,18,F,1,2,1,A,A,5,A,B,371.97999999999996
SE,17,F,1,2,1,D,B,4,B,B,544.5799999999999
SE,19,M,1,2,1,A,A,2,A,A,466.14
SE,18,M,1,2,1,B,B,5,B,B,385.14
SE,17,M,1,2,2,D,D,4,D,B,656.9
SE,19,F,1,2,1,A,B,3,A,B,470.38
SE,27,F,1,2,1,A,A,4,A,A,413.41999999999996
SE,17,F,1,1,1,A,A,3,A,A,497.53999999999996
SE,18,M,1,2,1,D,D,6,B,A,441.73999999999995
SE,18,F,1,2,1,D,A,3,A,B,521.08
SE,19,F,1,2,1,B,B,3,A,B,448.5200000000001
SE,17,M,1,2,1,B,C,6,C,A,403.88
SE,17,F,1,2,1,A,B,2,A,A,431.46000000000004
SE,17,F,1,2,1,A,B,4,A,A,531.02
SE,20,F,1,2,1,A,B,4,B,A,456.91999999999996
SE,31,F,1,2,1,A,A,2,A,A,466.96000000000004
SE,17,F,1,2,1,D,A,3,A,A,483.06000000000006
SE,19,F,1,1,1,D,A,5,B,B,488.14
SE,29,F,1,2,1,B,A,4,A,A,444.14
SE,17,F,1,2,2,A,C,2,A,B,581.86
SE,19,M,1,2,1,B,B,4,A,B,390.02
SE,17,F,1,1,1,A,A,4,C,B,428.3
SE,16,F,1,2,2,B,C,3,C,B,584
SE,18,F,1,2,1,A,A,4,A,B,576.9399999999999
SE,17,F,1,2,1,C,B,3,C,B,698.9399999999999
SE,20,M,1,2,1,B,B,5,A,B,436.2
SE,17,F,1,1,1,A,A,5,A,A,481.52
SE,18,M,1,2,1,D,A,6,A,B,501.86
SE,18,M,1,1,2,C,C,4,D,B,557.8399999999999
SE,17,M,1,2,1,B,B,4,B,B,573.58
SE,18,F,1,2,1,A,A,4,A,B,439.68
SE,17,F,1,2,1,B,B,4,B,A,375.4
SE,17,F,1,2,1,B,B,4,B,B,553
SE,18,F,1,2,1,A,A,5,A,A,414.5
SE,18,M,1,2,1,A,A,3,A,B,325.86
SE,18,F,1,2,1,D,D,4,A,A,459.9200000000001
SE,17,F,1,1,1,A,B,4,B,B,557.3399999999999
SE,18,F,1,2,1,B,A,2,A,B,524.24
SE,17,M,1,2,1,B,B,2,B,B,572.8
SE,18,M,1,2,1,A,A,3,B,B,427.16
SE,18,F,1,2,1,A,A,6,A,B,459.6
SE,19,M,1,1,1,A,A,4,A,B,401.86
SE,17,F,1,1,1,A,C,4,A,B,470.68
SE,17,F,1,2,1,A,A,5,A,B,459.18
SE,18,M,1,1,1,B,C,5,A,B,460.7
SE,17,F,1,2,2,B,B,3,B,B,670.88
SE,17,M,1,2,2,C,B,4,C,B,529.8399999999999
SE,20,M,1,2,1,D,A,3,B,B,481.16
SE,18,F,1,1,2,B,B,3,B,B,529.6
SE,17,F,1,2,1,A,A,3,A,A,532.6600000000001
SE,21,M,1,2,1,A,A,4,B,B,503.28000000000003
SE,18,M,1,2,1,B,B,5,A,B,447.03999999999996
SE,18,M,1,2,1,A,A,5,A,A,525.32
SE,18,F,1,1,2,C,C,4,D,B,503.8
SE,18,F,1,2,1,A,A,6,A,B,456.48
SE,19,F,1,2,1,B,A,7,A,A,393.69999999999993
SE,17,F,1,2,1,A,A,4,A,A,498.9
SE,19,F,1,2,1,A,A,7,A,B,398.46
SE,19,F,1,2,1,A,A,3,A,B,360.08
SE,19,F,1,1,1,A,A,5,A,A,453.98
SE,20,F,1,1,1,A,B,5,A,B,335.08000000000004
SE,18,M,1,2,1,A,A,6,A,A,519.86
SE,17,M,1,1,2,B,C,5,C,B,629.28
SE,17,M,1,2,2,C,B,4,C,B,609.0600000000001
SE,18,F,1,1,1,D,A,4,A,A,448.64
SE,20,F,1,2,1,D,A,2,A,B,530.76
SE,18,M,1,2,1,A,A,4,B,A,532.78
SE,19,F,1,2,1,A,A,4,A,B,573.54
SE,18,M,1,2,2,C,C,4,D,B,434.37999999999994
SE,17,M,1,1,2,D,A,2,A,B,592.1
SE,18,F,1,2,1,A,B,4,A,B,638.6400000000001
SE,18,F,1,2,1,A,A,4,B,B,539.38
SE,17,F,1,1,1,A,C,3,A,B,663.46
SE,20,F,1,2,1,A,A,4,A,B,521.92
SE,17,F,1,2,1,D,D,4,C,B,614.42
SE,17,F,1,2,1,A,B,4,B,B,478.8
SE,18,M,1,2,1,C,B,3,B,B,640.1
SE,18,M,1,2,1,A,A,3,B,B,424.53999999999996
SE,17,F,1,2,1,A,A,6,A,A,477.2799999999999
SE,17,F,1,2,1,A,B,6,A,A,428.93999999999994
SE,19,F,1,2,1,A,A,2,A,A,545.52
SE,18,F,1,2,1,A,A,5,A,A,438.21999999999997
SE,18,F,1,1,1,A,C,4,B,B,523.72
SE,17,F,1,1,1,B,B,5,C,B,485.02
SE,18,F,1,2,2,B,B,4,D,B,565.4
SE,16,F,1,2,1,A,B,3,B,B,587.48
SE,18,F,1,1,1,B,A,4,A,B,573.6
SE,20,M,1,2,1,B,A,4,A,B,510.48
SE,17,M,1,1,1,A,A,5,B,A,586.88
SE,17,M,1,1,2,C,B,5,D,B,725.42
SE,17,F,1,1,2,A,C,4,C,B,679.8399999999999
SE,19,M,1,2,1,A,A,4,A,A,454.6
SE,18,F,1,2,2,A,B,5,B,B,680.34
SE,18,F,1,2,1,A,A,3,A,B,474.32
SE,17,F,1,2,1,A,B,4,B,A,608.36
SE,17,F,1,1,1,A,A,4,A,B,465.46000000000004
SE,20,M,1,2,1,A,A,5,A,B,464.86
SE,17,F,1,2,2,A,A,4,B,A,709.72
SE,17,M,1,2,2,B,B,4,B,B,637.1400000000001
SE,17,F,1,2,1,A,A,4,A,A,354.88
SE,18,F,1,2,1,A,A,2,A,A,547.22
SE,18,F,1,1,1,C,B,2,B,B,433.34
SE,16,F,1,2,1,A,A,4,A,B,341.68
SE,18,M,1,2,1,B,A,4,B,B,458.93999999999994
SE,18,F,1,2,1,A,A,5,A,A,469.02
SE,19,F,1,2,1,A,A,6,A,A,479.98
SE,18,F,1,2,1,A,A,4,B,B,473.1
SE,17,M,1,2,1,A,B,2,A,B,509.23999999999995
SE,18,F,1,2,2,B,C,3,B,B,556.8199999999999
SE,17,M,1,1,2,A,B,3,B,A,678.26
SE,18,M,1,2,2,A,C,4,C,B,538.76
SE,17,F,1,1,2,B,C,2,D,B,612.78
SE,16,F,1,2,1,A,A,5,B,A,478.32000000000005
SE,21,F,1,2,1,D,D,2,A,A,418.23999999999995
SE,19,M,1,2,1,D,D,4,A,A,485.96000000000004
SE,20,F,1,2,1,A,A,3,A,A,394.18
SE,17,F,1,2,1,A,C,4,A,A,391.56
SE,20,M,1,2,1,B,B,4,B,A,557.1
SE,19,F,1,1,1,A,A,7,A,A,347.91999999999996
SE,18,M,1,1,2,B,C,3,C,B,684.3399999999999
SE,19,F,1,2,1,A,A,7,A,A,347.4
SE,17,M,1,2,2,A,A,7,B,A,398.26
SE,24,M,1,1,1,A,A,7,B,B,464.8
SE,18,F,1,2,2,A,C,4,B,B,493.12
SE,19,F,1,2,1,B,B,4,A,A,454.5
SE,19,F,1,1,1,A,A,3,A,A,371.36
SE,18,F,1,2,1,A,A,2,A,A,429.2799999999999
SE,18,F,1,2,1,B,A,4,B,B,564.8599999999999
SE,18,F,1,2,1,B,B,3,B,B,579.3
SE,19,F,1,2,1,A,A,4,A,A,381.66
SE,17,M,1,2,2,B,C,4,D,B,666.36
