SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
SP,17,F,1,1,2,C,C,4,B,B,589.7
SP,17,F,1,1,2,C,C,4,D,B,575.1
SP,17,F,1,1,2,C,C,2,D,B,630.9
SP,18,M,1,1,2,B,B,3,C,B,635.2
SP,18,M,1,1,2,B,A,3,D,B,578.0600000000001
SP,17,F,1,2,1,A,A,6,C,B,404.6
SP,17,F,1,1,1,A,B,4,C,B,473.84
SP,17,F,1,1,1,A,A,8,B,B,482.41999999999996
SP,17,M,1,1,1,A,A,4,C,B,589.6800000000001
SP,17,M,1,2,1,A,B,5,D,B,602.0600000000001
SP,17,M,1,1,2,B,B,4,B,B,623.08
SP,18,F,1,2,1,D,A,5,C,B,442.08000000000004
SP,17,F,1,2,2,A,C,3,C,B,514.4
SP,18,M,1,1,1,B,C,4,C,B,576.5
SP,17,M,1,1,2,B,B,3,B,B,671.6600000000001
SP,17,F,1,2,1,A,A,3,B,B,566.3199999999999
SP,18,F,1,1,1,D,A,2,A,B,401.44000000000005
SP,17,F,1,2,1,A,A,5,B,B,400.86
SP,18,M,1,2,2,B,B,5,D,B,494.53999999999996
SP,17,M,1,2,1,A,B,3,C,B,553.74
SP,18,F,1,1,1,D,A,2,B,B,622.82
SP,18,F,1,2,1,A,A,3,C,B,529.42
SP,17,M,1,1,1,A,B,3,B,B,531.1
SP,17,M,1,1,2,C,C,3,D,B,693.88
SP,18,F,1,1,1,B,A,5,C,B,570.2
SP,17,M,1,1,1,A,B,4,B,B,610.1800000000001
SP,17,M,1,2,1,A,A,2,B,B,433.46000000000004
SP,17,M,1,1,2,A,B,4,C,B,568.64
SP,18,M,1,1,2,B,B,4,D,B,621.76
SP,18,M,1,1,2,C,C,4,D,B,553.1
SP,17,F,1,2,1,B,B,5,C,B,424.62
SP,18,F,1,2,1,A,B,3,C,B,501.96000000000004
SP,17,F,1,1,1,A,A,6,A,B,401.96000000000004
SP,18,F,1,2,1,A,A,5,C,B,532.5600000000001
SP,18,F,1,2,1,C,B,6,B,B,482.8
SP,17,M,1,1,1,B,B,6,B,B,470.36
SP,17,M,1,2,1,B,B,3,D,B,604.28
SP,18,F,1,1,1,A,B,3,A,B,426.7
SP,17,F,1,2,1,B,B,3,C,B,440.4599999999999
SP,17,F,1,1,1,A,A,4,C,B,530.02
SP,18,M,1,2,1,B,B,4,B,B,663.52
SP,17,M,1,1,1,A,A,2,B,B,614.28
SP,18,F,1,1,1,A,A,4,B,B,507.5799999999999
SP,17,F,1,1,2,C,C,3,D,B,560.5600000000001
SP,17,M,1,2,1,A,A,2,B,B,568.78
SP,17,M,1,2,1,B,A,4,B,B,443.2
SP,17,F,1,2,2,A,A,4,C,B,518.12
SP,18,M,1,2,1,A,B,6,B,B,572.72
SP,18,F,1,2,1,A,B,5,C,A,398.08
SP,18,F,1,1,2,C,B,3,C,B,486.71999999999997
SP,17,F,1,1,1,A,B,5,B,B,514.84
SP,17,F,1,1,1,C,C,5,C,B,467.14
SP,18,M,1,1,2,C,C,3,D,B,502.6
SP,18,F,1,2,1,C,B,3,D,B,483.2
SP,17,F,1,1,2,B,C,4,C,B,571.7
SP,17,M,1,1,1,A,A,4,B,B,550.3
SP,17,F,1,1,1,B,C,4,C,B,547.9599999999999
SP,17,M,1,2,1,A,A,5,B,B,431.1
SP,17,F,1,2,1,A,B,3,B,B,579.2
SP,17,F,1,2,1,D,B,3,B,B,535.4
SP,17,M,1,1,1,B,B,3,C,B,505.14
SP,17,M,1,1,2,C,C,4,C,B,696.04
SP,17,M,1,1,1,B,C,3,C,B,444.03999999999996
SP,17,F,1,1,2,C,C,4,D,B,592.3799999999999
SP,18,F,1,2,1,B,C,2,C,B,563.1600000000001
SP,18,F,1,1,1,A,B,4,D,B,661.3
SP,17,F,1,1,1,B,C,5,C,B,359.32000000000005
SP,17,F,1,1,1,B,B,3,B,B,525.62
SP,18,F,1,1,1,B,B,3,B,B,468.02
SP,17,M,1,1,1,A,B,3,C,B,411.03999999999996
SP,18,F,1,1,1,A,A,5,C,B,433.0400000000001
SP,17,F,1,1,2,C,C,4,C,B,660.62
SP,18,M,1,1,2,C,B,4,D,B,529.0200000000001
SP,17,M,1,2,1,B,A,4,C,B,533.74
SP,17,F,1,1,1,B,B,4,D,B,586.3199999999999
SP,17,M,1,2,1,B,A,4,C,B,500
SP,17,M,1,1,1,B,B,4,C,B,554.0600000000001
SP,17,M,1,1,1,B,C,6,C,B,514.6600000000001
SP,17,F,1,2,1,B,A,3,A,A,493.62000000000006
SP,20,F,1,2,1,A,A,7,C,B,326.58000000000004
SP,17,M,1,1,1,C,C,3,D,B,620.64
SP,17,F,1,2,1,B,B,5,C,B,510.41999999999996
SP,18,M,1,1,1,A,A,3,B,B,564.4
SP,17,F,1,1,1,A,A,5,B,B,564.7
SP,18,M,1,1,1,A,B,5,B,B,346.14
SP,17,F,1,2,1,A,A,5,C,B,608.6600000000001
SP,17,M,1,2,1,B,B,3,B,B,534.56
SP,18,M,1,1,1,A,A,3,C,B,501.06000000000006
SP,17,M,1,2,1,C,C,5,C,B,480.1
SP,17,F,1,1,2,B,B,3,D,B,600.1200000000001
SP,17,M,1,1,1,A,B,4,B,B,335.94
SP,17,F,1,1,2,C,C,3,D,B,662.26
SP,17,F,1,2,1,A,A,3,B,B,502.0799999999999
SP,17,F,1,2,1,A,A,9,D,B,575
SP,17,F,1,1,2,B,C,3,B,B,542.32
SP,17,F,1,2,1,A,A,4,A,B,434.06000000000006
SP,17,M,1,2,1,D,B,4,A,B,390.36
SP,19,F,1,1,1,D,A,5,B,B,431.02
SP,17,F,1,2,1,B,C,4,C,B,516.6
SP,18,F,1,1,2,B,C,3,C,B,654.1199999999999
SP,17,M,1,1,2,C,C,3,D,B,506.14
SP,17,F,1,1,1,A,A,3,B,B,520.38
SP,18,F,1,1,1,A,B,4,B,B,591.72
SP,18,M,1,1,1,B,B,2,D,B,479.16
SP,17,M,1,1,1,A,B,4,C,B,645.64
SP,18,M,1,2,1,A,A,3,B,B,512
SP,17,F,1,1,1,B,B,3,B,B,518.44
SP,17,F,1,2,1,B,C,3,D,B,552.1
SP,45,M,1,1,1,A,A,2,B,B,540.42
SP,18,F,1,1,2,B,B,4,D,B,592.96
SP,18,F,1,1,1,A,B,3,B,B,573.96
SP,17,F,1,1,2,C,C,3,D,B,586.1600000000001
SP,17,M,1,2,2,C,C,3,C,B,658.04
SP,17,F,1,1,2,B,B,6,C,B,549.8199999999999
