SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ESCOLA,Q001,Q002,Q005,Q006,Q025,NU_MED
TO,17,M,1,2,1,B,C,6,C,B,546.24
TO,19,F,2,2,1,B,B,5,A,A,450.7200000000001
TO,18,M,1,2,1,A,A,5,A,B,551.74
TO,18,M,1,2,1,A,C,4,B,B,585.78
TO,18,M,1,2,1,D,D,2,A,A,369.1
TO,19,M,1,2,1,A,A,4,A,A,457.34
TO,19,F,1,1,1,C,A,3,C,A,447.9
TO,17,M,1,2,1,B,B,5,B,B,444.8
TO,17,M,1,1,1,B,B,5,B,B,546.42
TO,17,F,1,2,1,A,C,3,C,B,567.4399999999999
TO,17,M,1,1,1,C,B,3,B,B,512.28
TO,17,F,1,2,1,A,C,4,C,B,467.08000000000004
TO,18,F,1,2,1,B,A,5,B,B,484.23999999999995
TO,18,F,1,2,1,A,A,4,A,A,470.1
TO,19,M,1,2,1,D,A,4,B,A,331.24
TO,20,M,1,1,1,B,B,4,A,B,448.56000000000006
TO,17,F,1,2,1,B,A,3,B,B,413.34
TO,17,M,1,1,2,A,B,4,C,B,682.5
TO,18,F,1,2,1,C,B,4,B,A,468.5
TO,17,M,1,2,1,B,B,7,B,A,457.5200000000001
TO,17,F,1,2,1,A,A,5,B,B,527.9
TO,18,M,1,1,1,D,A,4,A,B,426.28000000000003
TO,18,F,1,2,1,A,C,6,B,B,461.4799999999999
TO,18,M,1,2,1,C,C,7,B,B,579.72
TO,16,M,1,2,1,D,C,6,A,B,481.76000000000005
TO,19,M,1,2,1,A,A,4,B,B,474.02
TO,17,F,1,2,1,B,B,3,A,B,613.3
TO,17,F,1,2,1,A,C,4,C,B,564.6800000000001
TO,18,M,1,2,1,D,B,4,C,B,431.4
TO,17,M,1,1,1,B,C,3,C,B,668.6
TO,17,M,1,2,1,A,A,4,A,A,488.68
TO,19,F,1,2,1,A,A,4,A,A,353.62
TO,18,F,1,2,1,A,A,4,A,B,441.36
TO,17,M,1,2,1,A,B,4,B,B,513.0600000000001
TO,18,F,1,2,1,A,B,3,A,B,483.28000000000003
TO,18,F,1,2,1,B,C,3,B,B,472.7
TO,19,M,1,2,1,D,A,3,A,B,412.76000000000005
TO,17,M,1,1,1,A,B,2,B,B,466.03999999999996
TO,17,F,1,2,1,A,B,4,A,A,506.26000000000005
TO,18,M,1,2,1,B,A,9,C,A,311.5400000000001
TO,17,M,1,2,1,A,A,5,A,A,531.42
TO,19,M,2,2,1,B,C,4,C,B,493.87999999999994
TO,18,F,1,2,1,D,D,5,A,A,476.86
TO,17,F,1,2,2,C,C,2,C,B,497.67999999999995
TO,17,F,1,2,1,C,C,2,D,B,604.58
TO,19,M,1,2,2,D,D,4,A,A,457.9599999999999
TO,17,M,1,2,1,A,A,3,A,A,476.84
TO,17,F,1,2,1,A,B,4,C,B,446.48
TO,17,F,1,2,1,B,B,5,A,A,445.87999999999994
TO,17,F,1,1,1,C,B,4,C,B,539.8399999999999
TO,19,M,1,2,1,C,B,4,B,B,450.38
